"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G28140","Kansas City, MO-KS Metro Area",-19460.01,8016,2651,21186,1421,25431,143452
"G28420","Kennewick-Pasco-Richland, WA Metro Area",242.850000000006,989,1350.06,2176,479,13478.68,31586.08
"G28660","Killeen-Temple-Fort Hood, TX Metro Area",-13120.4,19061.53,1046.84,3255.98,1812,11795.35,46171.69
"G28700","Kingsport-Bristol-Bristol, TN-VA Metro Area",-12636.56,-119.09,-0.940000000000055,548,-16,844,9448.94
"G28740","Kingston, NY Metro Area",-16456,81,232,754,29,3848,10870
"G28940","Knoxville, TN Metro Area",13994,2686,997,4658,-50,10069,35678
"G29020","Kokomo, IN Metro Area",-4786,853,-31,275,1,500,3517
"G29100","La Crosse, WI-MN Metro Area",106.360000000001,380.97,36,877.97,0,764.97,3794.99
"G29140","Lafayette, IN Metro Area",-10629,4455,310,2952,3,2848,13548
"G29180","Lafayette, LA Metro Area",-1401.66,3072.7,195,1981.01,-5,3936.03,11998.73
"G29340","Lake Charles, LA Metro Area",1943.82999999999,7434,193.99,1761,46,3102,8314
"G29420","Lake Havasu City-Kingman, AZ Metro Area",-4146,339,685,631,68,687,14817
"G29460","Lakeland-Winter Haven, FL Metro Area",-13820,16700,1178,3754,103,36000,79036
"G29540","Lancaster, PA Metro Area",-7525,3359,127,4287,5,8548,24738
"G29620","Lansing-East Lansing, MI Metro Area",-21444.02,3576,-46,3354,20,2703,21004
"G29700","Laredo, TX Metro Area",-117478,34,645,-59,23,29901,103744
"G29740","Las Cruces, NM Metro Area",-50780,416,942,473,10,5514,53753
"G29820","Las Vegas-Paradise, NV Metro Area",-171744,82305,9313,68832,6944,85838,232704
"G29940","Lawrence, KS Metro Area",-973,944,-1,539,21,1080,6349
"G30020","Lawton, OK Metro Area",-10695,-1867,-29,364,191,1551,7512
"G30140","Lebanon, PA Metro Area",-3156,348,20,701,46,4280,7450
"G30300","Lewiston, ID-WA Metro Area",175.760000000002,100,236,144,-6,287,2545.7
"G30340","Lewiston-Auburn, ME Metro Area",-3314,2600,11,128,26,373,3613
"G30460","Lexington-Fayette, KY Metro Area",2618,6173,553,4361,42,7516,23449
"G30620","Lima, OH Metro Area",-8336,-66,93,100,38,605,3441
"G30700","Lincoln, NE Metro Area",10074,3884,528,4110,60,3832,15572
"G30780","Little Rock-North Little Rock-Conway, AR Metro Area",-21912.08,18216.12,1016.06,3489.09,48,11188.59,36230.73
"G30860","Logan, UT-ID Metro Area",13363.07,416,468,246,269,775,6450
"G30980","Longview, TX Metro Area",-14760,-695,282,340,14,3118,14677
"G31020","Longview, WA Metro Area",-255.160000000003,178,150,272,436,1169,6372.43
"G31100","Los Angeles-Long Beach-Santa Ana, CA Metro Area",-2124675.82,-59413.45,110825.46,322128.14,-1891,756446.12,1368732.92
"G31140","Louisville/Jefferson County, KY-IN Metro Area",-26726.45,16773,1318,12269,258,17595,65605.32
"G31180","Lubbock, TX Metro Area",-25329,6269,1173,3954,57,7651,37107
"G31340","Lynchburg, VA Metro Area",-1641,-1756,44,217,48,2763,9284
"G31420","Macon, GA Metro Area",-10468,3223,-5,725,-68,1924,6178
"G31460","Madera-Chowchilla, CA Metro Area",-29208,-1033,3538,1105,11,11923,19054
"G31540","Madison, WI Metro Area",20302.35,5341,713,12854,64,6539.02,29303.24
"G31700","Manchester-Nashua, NH Metro Area",-11877.04,2639,60,3570.82,1,6579.82,21252.46
"G31740","Manhattan, KS Metro Area",-3111,524,-25,576,290,1490,7221
"G31860","Mankato-North Mankato, MN Metro Area",-2117,3269,193,723,25,1175,3558
"G31900","Mansfield, OH Metro Area",-3731,-397,6,-15,21,585,3992
"G32580","McAllen-Edinburg-Mission, TX Metro Area",-381095,179,3566,1570,81,128845,342866
"G32780","Medford, OR Metro Area",-1979.01999999999,362,395,1023,272,2539,17441
"G32820","Memphis, TN-MS-AR Metro Area",-65503.6899999999,11061,1144,7880,-28,21236,45889.99
"G32900","Merced, CA Metro Area",-43847,-768,4045,1879,224,26450,37426
"G33100","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",-1485490,25149,10039,38622,-129,400878,1584629
"G33140","Michigan City-La Porte, IN Metro Area",-5681,89,125,171,4,1195,5047
"G33260","Midland, TX Metro Area",-6898,1962,537,2268,137,5971,29134
"G33340","Milwaukee-Waukesha-West Allis, WI Metro Area",-97145,-5018,838.01,20319,0,15501,84328.01
"G33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",-13459.0600000001,93891,3834,77293,-44,44287,149493
"G33540","Missoula, MT Metro Area",221.639999999999,307,427,220,20,2151,5278.01
"G33660","Mobile, AL Metro Area",-19097,3262,376,1024,30,2113,14109
"G33700","Modesto, CA Metro Area",-80738.75,1192.02,4641,8688,868,46919.31,56857.22
"G33740","Monroe, LA Metro Area",-5556.96000000001,1683.33,148,843.01,-16,2287,5660.01
"G33780","Monroe, MI Metro Area",-5914.89999999999,901.01,77,117,-2,643,6967
"G33860","Montgomery, AL Metro Area",-13634,7985,235,3738,-48,2396,10839
"G34060","Morgantown, WV Metro Area",632,2345,53,823,18,807,5651
"G34100","Morristown, TN Metro Area",-1974,-550,291,345,243,1712,6034
