"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area",-221949.18,-1310.9,9934,189490.11,-73.8900000000003,56484.35,130988.28
"G42020","San Luis Obispo-Paso Robles, CA Metro Area",-24418,-940,623,1895,24,7658,27945
"G42060","Santa Barbara-Santa Maria-Goleta, CA Metro Area",-70375,-1139,4148,5884,-103,25642,60279
"G42100","Santa Cruz-Watsonville, CA Metro Area",-29643,384,1354,1441,35,8518,26390
"G42140","Santa Fe, NM Metro Area",-20888.1,173,1071.99,695,20,614.040000000001,28956.17
"G42220","Santa Rosa-Petaluma, CA Metro Area",-64727.97,5,2366,4504,282,18037.01,44519
"G42340","Savannah, GA Metro Area",17794,6918,523,5226,244,7399,19083
"G42540","Scranton--Wilkes-Barre, PA Metro Area",-55341,8411,560,4141,35,18644,27478
"G42660","Seattle-Tacoma-Bellevue, WA Metro Area",-59540.7200000002,54799.96,5835.96,224437.99,15673,80242.57,257507.77
"G42680","Sebastian-Vero Beach, FL Metro Area",6195,970,123,724,17,1914,11817
"G43100","Sheboygan, WI Metro Area",-5657,855,96,1603,-14,1103,4541
"G43300","Sherman-Denison, TX Metro Area",-1519,582,552,944,42,3174,10891
"G43340","Shreveport-Bossier City, LA Metro Area",-25035.81,-155.950000000012,222,1049.01,-55,4063,14714
"G43580","Sioux City, IA-NE-SD Metro Area",-11826.09,3770.83,481.99,694.95,675.97,2495.8,10052.32
"G43620","Sioux Falls, SD Metro Area",24844,5950,1443,2641,-58,3150,10499
"G43780","South Bend-Mishawaka, IN-MI Metro Area",-17652.72,1665,363,1587,-30,3487,15858
"G43900","Spartanburg, SC Metro Area",13694.4,5646.82,610.86,2550.7,110.99,6215.5,14778.34
"G44060","Spokane, WA Metro Area",22678.39,2923,796.54,2696.93,2401.1,6118.98,30505.06
"G44100","Springfield, IL Metro Area",-13933,2631,90,1135,18,831,7698
"G44140","Springfield, MA Metro Area",-67151.56,972.050000000003,546.01,7140.07,56,18684.01,45975.1
"G44180","Springfield, MO Metro Area",5764.47999999998,2408,334,2047,129,3286.1,24752.14
"G44220","Springfield, OH Metro Area",-8352,72,68,44,42,639,5155
"G44300","State College, PA Metro Area",-6413,838,11,3418,-3,931,5400
"G44600","Steubenville-Weirton, OH-WV Metro Area",-12270,-114,55,39,22,438,4279
"G44700","Stockton, CA Metro Area",-81949.61,8607.12,4911,40850.81,1809,50687.2,69010.34
"G44940","Sumter, SC Metro Area",-4419,-1538,39,244,-9,384,3399
"G45060","Syracuse, NY Metro Area",-44256.49,6109,-524.01,6025,-1,5034,27094
"G45220","Tallahassee, FL Metro Area",-9880,1848,106,2466,28,3363,18954
"G45300","Tampa-St. Petersburg-Clearwater, FL Metro Area",-147445,46521,3891,43812,420,101838,342995
"G45460","Terre Haute, IN Metro Area",-9408,-279,-19,279,3,1063,4811
"G45500","Texarkana, TX-Texarkana, AR Metro Area",-9255.77,1185.26,48,367.07,20,1524.27,5578.94
"G45780","Toledo, OH Metro Area",-37981,1423,143,1270,1,2293,28026
"G45820","Topeka, KS Metro Area",-16247,-1053,70,449,98,2145,13820
"G45940","Trenton-Ewing, NJ Metro Area",-46564.84,673.110000000001,1247.98,15784.98,-89,26715.99,23055.3
"G46060","Tucson, AZ Metro Area",-95367,5282,1988,5636,605,7024,138006
"G46140","Tulsa, OK Metro Area",-42234.16,1531,5274.78999999999,12348.41,713,15915,84309.18
"G46220","Tuscaloosa, AL Metro Area",7037,9389,439,929,1,3348,8947
"G46340","Tyler, TX Metro Area",-2547,964,515,1591,27,4937,18278
"G46540","Utica-Rome, NY Metro Area",-26711,1555,38,4099,48,2722,11116
"G46660","Valdosta, GA Metro Area",-3527,5046,43,353,2,961,5660
"G46700","Vallejo-Fairfield, CA Metro Area",-35003.97,1386.31,2175.51,12263.23,596.57,23530,35086.68
"G47020","Victoria, TX Metro Area",-22911.98,10,216,712,14,3567,21446
