"CBSAA","NAME_E.y","housing_chg"
17640,"Coco, PR Micro Area",-3600
17660,"Coeur d'Alene, ID Metro Area",108400
17700,"Coffeyville, KS Micro Area",8300
17740,"Coldwater, MI Micro Area",23000
17780,"College Station-Bryan, TX Metro Area",51900
17820,"Colorado Springs, CO Metro Area",81100
17860,"Columbia, MO Metro Area",20500
17900,"Columbia, SC Metro Area",19100
17980,"Columbus, GA-AL Metro Area",10600
18020,"Columbus, IN Metro Area",27400
18060,"Columbus, MS Micro Area",20600
18100,"Columbus, NE Micro Area",34300
18140,"Columbus, OH Metro Area",36800
18180,"Concord, NH Micro Area",20200
18220,"Connersville, IN Micro Area",2100
18260,"Cookeville, TN Micro Area",24000
18300,"Coos Bay, OR Micro Area",49900
18380,"Cordele, GA Micro Area",-15100
18420,"Corinth, MS Micro Area",23800
18460,"Cornelia, GA Micro Area",23700
18500,"Corning, NY Micro Area",13200
18580,"Corpus Christi, TX Metro Area",33600
18620,"Corsicana, TX Micro Area",28400
18660,"Cortland, NY Micro Area",18500
18700,"Corvallis, OR Metro Area",88200
18740,"Coshocton, OH Micro Area",9800
18780,"Craig, CO Micro Area",14800
18820,"Crawfordsville, IN Micro Area",21600
18860,"Crescent City, CA Micro Area",43800
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",54000
18900,"Crossville, TN Micro Area",20300
18980,"Cullman, AL Micro Area",20000
19000,"Cullowhee, NC Micro Area",19600
19060,"Cumberland, MD-WV Metro Area",11100
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",79700
19140,"Dalton, GA Metro Area",25100
19180,"Danville, IL Metro Area",5100
19220,"Danville, KY Micro Area",13700
19260,"Danville, VA Micro Area",13000
19300,"Daphne-Fairhope-Foley, AL Metro Area",42300
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",15900
19420,"Dayton, TN Micro Area",24700
19460,"Decatur, AL Metro Area",21300
19500,"Decatur, IL Metro Area",8200
19540,"Decatur, IN Micro Area",25200
19580,"Defiance, OH Micro Area",16200
19620,"Del Rio, TX Micro Area",13000
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",64100
19700,"Deming, NM Micro Area",2800
19740,"Denver-Aurora-Lakewood, CO Metro Area",144800
19760,"DeRidder, LA Micro Area",37500
19780,"Des Moines-West Des Moines, IA Metro Area",33000
19820,"Detroit-Warren-Dearborn, MI Metro Area",51600
19860,"Dickinson, ND Micro Area",34300
19940,"Dixon, IL Micro Area",9000
19980,"Dodge City, KS Micro Area",10300
20020,"Dothan, AL Metro Area",22900
20060,"Douglas, GA Micro Area",11900
20100,"Dover, DE Metro Area",26100
20140,"Dublin, GA Micro Area",8700
20180,"DuBois, PA Micro Area",12100
20220,"Dubuque, IA Metro Area",25900
20260,"Duluth, MN-WI Metro Area",21700
20300,"Dumas, TX Micro Area",20100
20340,"Duncan, OK Micro Area",16300
20420,"Durango, CO Micro Area",83200
20460,"Durant, OK Micro Area",29700
20500,"Durham-Chapel Hill, NC Metro Area",47500
20540,"Dyersburg, TN Micro Area",15000
20580,"Eagle Pass, TX Micro Area",12200
20660,"Easton, MD Micro Area",14500
20700,"East Stroudsburg, PA Metro Area",-700
20740,"Eau Claire, WI Metro Area",29400
20780,"Edwards, CO Micro Area",197800
20820,"Effingham, IL Micro Area",23500
20900,"El Campo, TX Micro Area",46400
20940,"El Centro, CA Metro Area",55100
20980,"El Dorado, AR Micro Area",15100
21020,"Elizabeth City, NC Micro Area",1400
21060,"Elizabethtown-Fort Knox, KY Metro Area",16100
21120,"Elk City, OK Micro Area",5100
21140,"Elkhart-Goshen, IN Metro Area",25300
21180,"Elkins, WV Micro Area",16100
21220,"Elko, NV Micro Area",42800
21260,"Ellensburg, WA Micro Area",72900
21300,"Elmira, NY Metro Area",8500
21340,"El Paso, TX Metro Area",12600
21380,"Emporia, KS Micro Area",18500
21420,"Enid, OK Metro Area",22100
21460,"Enterprise, AL Micro Area",11300
21500,"Erie, PA Metro Area",20300
21540,"Escanaba, MI Micro Area",13500
21580,"Española, NM Micro Area",17000
21660,"Eugene-Springfield, OR Metro Area",64700
21700,"Eureka-Arcata, CA Micro Area",52000
21740,"Evanston, WY Micro Area",4900
21780,"Evansville, IN-KY Metro Area",22600
21820,"Fairbanks, AK Metro Area",22200
21840,"Fairfield, IA Micro Area",19600
21900,"Fairmont, WV Micro Area",22900
21980,"Fallon, NV Micro Area",47800
22020,"Fargo, ND-MN Metro Area",57900
22060,"Faribault-Northfield, MN Micro Area",47600
22100,"Farmington, MO Micro Area",14500
22140,"Farmington, NM Metro Area",9600
22180,"Fayetteville, NC Metro Area",15800
22220,"Fayetteville-Springdale-Rogers, AR Metro Area",39700
22260,"Fergus Falls, MN Micro Area",38900
22280,"Fernley, NV Micro Area",106900
22300,"Findlay, OH Micro Area",25500
22340,"Fitzgerald, GA Micro Area",4600
22380,"Flagstaff, AZ Metro Area",79800
22420,"Flint, MI Metro Area",31000
22500,"Florence, SC Metro Area",16100
22520,"Florence-Muscle Shoals, AL Metro Area",27700
22540,"Fond du Lac, WI Metro Area",16500
22580,"Forest City, NC Micro Area",18500
22620,"Forrest City, AR Micro Area",4400
22660,"Fort Collins, CO Metro Area",127200
22700,"Fort Dodge, IA Micro Area",22000
22780,"Fort Leonard Wood, MO Micro Area",30900
22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",10800
22820,"Fort Morgan, CO Micro Area",71700
22860,"Fort Polk South, LA Micro Area",28000
22900,"Fort Smith, AR-OK Metro Area",16500
23060,"Fort Wayne, IN Metro Area",22200
23140,"Frankfort, IN Micro Area",20900
23180,"Frankfort, KY Micro Area",15600
23240,"Fredericksburg, TX Micro Area",73000
23300,"Freeport, IL Micro Area",700
23340,"Fremont, NE Micro Area",23100
23380,"Fremont, OH Micro Area",8500
23420,"Fresno, CA Metro Area",76400
23460,"Gadsden, AL Metro Area",24000
23500,"Gaffney, SC Micro Area",11800
23540,"Gainesville, FL Metro Area",22300
