"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G14260","Boise City-Nampa, ID Metro Area",69635.51,4197,1304,5128,779,11496,55618.02
"G14300","Bonham, TX Micro Area",-923,-95,48,27,18,761,1911
"G14340","Boone, IA Micro Area",-566.43,95,-16,12,0,95,789
"G14380","Boone, NC Micro Area",-2534.24,1272,2,469.99,6,1564.98,2245
"G14420","Borger, TX Micro Area",-3675,-89,27,20,-3,474,1713
"G14460","Boston-Cambridge-Quincy, MA-NH Metro Area",-208604.5,32762.16,3524.01,134025.68,53,132281.99,295193.81
"G14500","Boulder, CO Metro Area",-923.579999999987,861.01,677,4314.78,101,6020.47,25118.23
"G14540","Bowling Green, KY Metro Area",4043,2551,161,4149,559,2867,6397
"G14580","Bozeman, MT Micro Area",20798.59,237,262,386,31,1577.82,6150.81
"G14620","Bradford, PA Micro Area",-4388,-179,10,6,-1,116,1418
"G14660","Brainerd, MN Micro Area",1484.87,118,452.83,123,0,354,2588.89
"G14700","Branson, MO Micro Area",-3377.25999999999,434,115,299,161,1130.9,4505.91
"G14740","Bremerton-Silverdale, WA Metro Area",-973.779999999999,1185,266,2015.99,658.99,4137.97,17184.72
"G14780","Brenham, TX Micro Area",-1709,-321,55,119,10,559,3374
"G14820","Brevard, NC Micro Area",-1617.34,-255,30,29,14,432.99,1265.88
"G14860","Bridgeport-Stamford-Norwalk, CT Metro Area",-101716,7439,1985,9057,-95,45113,78807
"G14940","Brigham City, UT Micro Area",4848.93,6,104,12,19,345,2275
"G15020","Brookhaven, MS Micro Area",-773,99,16,47,1,76,572
"G15060","Brookings, OR Micro Area",-659,17,112,54,4,248,1293
"G15100","Brookings, SD Micro Area",489,383,132,48,4,351,1003
"G15140","Brownsville, TN Micro Area",-922,-433,28,5,9,46,344
"G15180","Brownsville-Harlingen, TX Metro Area",-190716,-79,1195,117,36,40228,164016
"G15220","Brownwood, TX Micro Area",-3636,80,16,111,13,232,3173
"G15260","Brunswick, GA Metro Area",-2213,-1977,124,270,17,675,4229
"G15340","Bucyrus, OH Micro Area",-2904,-59,-20,-19,5,42,1196
"G15380","Buffalo-Niagara Falls, NY Metro Area",-57533,12753,-171,23231,46,10076,42991
