"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G11340","Anderson, SC Metro Area",3.15396681306652,1.47148567621586,28.8849372384937,71.9288256227758,35.7906976744186,90.6536,287.024109014675
"G11460","Ann Arbor, MI Metro Area",0.314504827156647,-2.16603833938813,1.36286201022147,24.0621195912797,57.03125,78.6246693916807,153.144980127873
"G11500","Anniston-Oxford, AL Metro Area",-9.29085997298514,4.82733163809368,-9.81481481481481,40.8284023668639,23.9583333333333,30.4646251319958,205.26582278481
"G11540","Appleton, WI Metro Area",1.48632035675545,76.4379414732593,6.59340659340659,26.1182108626198,90.1234567901235,52.5196621031168,277.636363636364
"G11700","Asheville, NC Metro Area",2.44914186949671,1.44059277682782,28.3169336384439,37.6476906552095,130.60612244898,74.6410446531554,290.638948565651
"G12020","Athens-Clarke County, GA Metro Area",5.00740159083307,2.8393351800554,95.5555555555556,25.5143462667101,6.52173913043478,40.7705099778271,277.465946843854
"G12060","Atlanta-Sandy Springs-Marietta, GA Metro Area",-5.54015196132142,19.6835875129471,69.1087234871681,56.930434474867,14.3827859569649,52.4850557720175,272.241635009636
"G12100","Atlantic City-Hammonton, NJ Metro Area",-12.6803236692915,-5.93363994743758,19.3333333333333,5.77314882252974,271.739130434783,34.4939657730735,188.503599550056
"G12220","Auburn-Opelika, AL Metro Area",11.6443013419195,24.0399987461208,61.7977528089888,134.33570256971,14.2857142857143,134.490122797651,307.96812749004
"G12260","Augusta-Richmond County, GA-SC Metro Area",-0.99544198597866,6.99287729733853,8.91293147861927,37.3461578239735,25.8474576271186,62.6491264131552,202.536913802552
"G12420","Austin-Round Rock-San Marcos, TX Metro Area",4.70956114056106,25.6550232737035,56.05969372584,96.232115778875,51.7446176688938,35.8437263682926,585.31421646347
"G12540","Bakersfield-Delano, CA Metro Area",-25.6183974099879,2.47133133010364,43.2865257178921,34.2392240142341,20.4472843450479,34.1822244192762,287.70599112426
"G12580","Baltimore-Towson, MD Metro Area",-8.98114977357406,4.12633412892118,25.008923329811,46.8599881214863,-9.13360599863667,143.109624005319,187.495521461511
"G12620","Bangor, ME Metro Area",-5.10279151510197,30.0258843830889,-20.8955223880597,31.1533052039381,4.54545454545455,166.568047337278,203.87398893146
"G12700","Barnstable Town, MA Metro Area",-1.86573024166558,62.5553914327917,-7.55287009063444,40.9269785745518,-4.70588235294118,70.757341576507,237.84301212508
"G12940","Baton Rouge, LA Metro Area",-3.56071584206104,3.69074642108908,21.6043755697356,24.3429766469153,-10.1123595505618,149.8456944712,348.333367409528
"G12980","Battle Creek, MI Metro Area",-8.22266898985837,-2.41393222162453,5.77617328519856,71.7301514456173,-37.5,35.0285171102662,128.890188589162
"G13020","Bay City, MI Metro Area",-8.02949207006338,0.176263219741481,-17.9078014184397,-6.9204152249135,-64.2857142857143,27.8672985781991,169.671790610719
"G13140","Beaumont-Port Arthur, TX Metro Area",-11.0134084919124,0.549951290028597,23.7648221343874,19.5056642636457,25.7575757575758,41.337786762767,340.394088669951
"G13380","Bellingham, WA Metro Area",2.40372258695349,21.6692586832556,10.4522259370051,42.8349788434415,47.3577235772358,47.3620191576707,187.739970872501
"G13460","Bend, OR Metro Area",16.3491958672115,56.1619718309859,7.86749482401656,68.0894308943089,29.5238095238095,42.6761741368218,332.302278988229
"G13740","Billings, MT Metro Area",3.93330139354677,37.5,23.0008382229673,39.5421436004162,98.2905982905983,61.5512465373961,193.434132447187
"G13780","Binghamton, NY Metro Area",-10.0747787610619,31.5046551206327,30.9128630705394,31.1146967863386,5.15463917525773,112.536443148688,181.049099258213
"G13820","Birmingham-Hoover, AL Metro Area",-3.0374768640843,4.33391022479921,44.1062369441958,41.4394922832829,3.95256916996047,44.6841898783837,323.453356385778
"G13900","Bismarck, ND Metro Area",12.7655166290117,355.887230514096,27.020259503756,175.560538116592,600,396.024464831804,269.625
"G13980","Blacksburg-Christiansburg-Radford, VA Metro Area",-5.80720273632694,17.6244118066448,8.68633540372672,57.4216351303106,45.2380952380952,139.997142857143,194.854276315789
"G14020","Bloomington, IN Metro Area",-6.38666712436923,14.7014115092291,-7.10172744721689,15.8622559652928,-25.3731343283582,67.8058783321941,192.659137577002
"G14060","Bloomington-Normal, IL Metro Area",-7.55002098782706,20.6824400450668,26.1096605744125,12.6608551266085,12.7272727272727,65.7318478678448,174.479431183342
"G14260","Boise City-Nampa, ID Metro Area",12.843780490729,75.2690100430416,24.6876183263915,46.1940365732817,60.7644305772231,34.325639724105,315.009175351155
"G14460","Boston-Cambridge-Quincy, MA-NH Metro Area",-5.81469474904809,9.88920951909493,31.0814076556712,45.5091051704057,3.55466130114017,63.5857996414099,249.738843156995
"G14500","Boulder, CO Metro Area",-0.359524931001322,34.0051342812006,36.9541484716157,35.5623506140278,58.3815028901734,45.8632589319723,318.718817408958
"G14540","Bowling Green, KY Metro Area",3.78005908971914,24.3416030534351,45.7386363636364,129.292614521658,430,122.626176218991,257.114147909968
"G14740","Bremerton-Silverdale, WA Metro Area",-0.469588029068954,17.8195488721805,6.58415841584158,16.2632300742175,28.5277056277056,105.587394743557,118.933628624818
"G14860","Bridgeport-Stamford-Norwalk, CT Metro Area",-14.8295669922729,7.49015777762115,83.2634228187919,21.4194494371393,-21.4932126696833,72.2108397093191,327.979856833694
"G15180","Brownsville-Harlingen, TX Metro Area",-53.9625321498601,-3.66589327146172,70.7938388625592,4.35105987355894,31.858407079646,100.809422378148,2625.51624779894
"G15260","Brunswick, GA Metro Area",-2.76576599095158,-7.48495059251126,36.1516034985423,26.8924302788845,15.8878504672897,25.8620689655172,225.066524747206
"G15380","Buffalo-Niagara Falls, NY Metro Area",-6.2069203607227,9.18923203297258,-2.08714756499451,90.7035764485397,16.3701067615658,69.3223254213966,202.893010524329
