GISJOIN,GEOGYEAR,CBSA,CBSAA,CM1AA1990,CM1AA1990L,CM1AA1990U,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AA2020,CM1AA2020L,CM1AA2020U,CM1AB1990,CM1AB1990L,CM1AB1990U,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AB2020,CM1AB2020L,CM1AB2020U,CM1AC1990,CM1AC1990L,CM1AC1990U,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AC2020,CM1AC2020L,CM1AC2020U,CM1AD1990,CM1AD1990L,CM1AD1990U,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AD2020,CM1AD2020L,CM1AD2020U,CM1AE1990,CM1AE1990L,CM1AE1990U,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AE2020,CM1AE2020L,CM1AE2020U,CM1AF1990,CM1AF1990L,CM1AF1990U,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AF2020,CM1AF2020L,CM1AF2020U,CM1AG1990,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,CM1AG2020,CM1AG2020L,CM1AG2020U
"G41460","2010","Salina, KS Micro Area","41460",51871.50,51869,51880,53805.38,53802,53810,54584,48753.00,48753,48753,1519.00,1519,1519,1693.00,1693,1693,1863,1860.00,1860,1860,255.00,255,255,302.00,302,302,319,371.00,371,371,521.00,521,521,918.00,918,918,1165,1150.00,1150,1150,18.00,18,18,23.00,23,23,27,31.00,31,31,751.00,751,751,1806.00,1806,1806,1947,2292.00,2292,2292,,1213.00,1213,1213,1792,5581.00,5581,5581
"G41500","2010","Salinas, CA Metro Area","41500",227012.00,227012,227012,224682.00,224682,224682,230717,158879.00,158879,158879,22849.00,22849,22849,15050.00,15050,15050,12785,9943.00,9943,9943,3017.00,3017,3017,4202.00,4202,4202,5464,12781.00,12781,12781,25369.00,25369,25369,24245.00,24245,24245,25258,26680.00,26680,26680,2487.00,2487,2487,1789.00,1789,1789,2071,2132.00,2132,2132,74939.00,74939,74939,111782.00,111782,111782,117405,150161.00,150161,150161,,20012.00,20012,20012,21357,78459.00,78459,78459
"G41540","2010","Salisbury, MD Metro Area","41540",71037.00,71037,71037,75387.00,75387,75387,81954,74501.00,74501,74501,25516.00,25516,25516,29889.00,29889,29889,35065,37495.00,37495,37495,184.00,184,184,277.00,277,277,321,553.00,553,553,762.00,762,762,1594.00,1594,1594,2655,3406.00,3406,3406,5.00,5,5,22.00,22,22,54,43.00,43,43,275.00,275,275,796.00,796,796,2243,4441.00,4441,4441,,1426.00,1426,1426,2911,7769.00,7769,7769
"G41580","2010","Salisbury, NC Micro Area","41580",91851.00,91851,91851,104294.00,104294,104294,105923,102597.60,102335,102678,17773.00,17773,17773,20562.00,20562,20562,22392,22991.88,22927,23005,262.00,262,262,433.00,433,433,468,757.98,752,758,438.00,438,438,1105.00,1105,1105,1386,1517.00,1517,1518,6.00,6,6,35.00,35,35,49,88.00,88,88,275.00,275,275,2610.00,2610,2610,5993,8996.43,8974,8998,,1301.00,1301,1301,2217,9783.49,9755,9787
"G41620","2010","Salt Lake City, UT Metro Area","41620",714779.09,714720,714792,839289.99,839018,839295,921768,945029.82,943617,945878,5909.00,5909,5909,10087.94,10085,10088,16964,24111.95,24108,24115,6568.00,6568,6568,8677.00,8677,8677,9842,14047.89,14046,14055,14873.61,14873,14874,23520.00,23520,23520,34807,52288.61,52254,52307,5444.00,5444,5444,11160.00,11160,11160,16039,22437.93,22437,22441,20487.61,20487,20488,51616.00,51616,51616,90267,116791.04,116774,116808,,24501.94,24499,24502,34510,125715.44,125607,125784
"G41660","2010","San Angelo, TX Metro Area","41660",81142.00,81142,81150,83852.00,83852,83853,91533,79748.00,79748,79748,4138.00,4138,4138,4305.00,4305,4305,4456,4551.00,4551,4551,374.00,374,374,693.00,693,693,884,1066.00,1066,1066,955.00,955,955,893.00,893,893,1121,1801.00,1801,1801,43.00,43,43,73.00,73,73,100,176.00,176,176,13435.00,13435,13435,13447.00,13447,13447,10564,12672.00,12672,12672,,2518.00,2518,2518,3165,21502.00,21502,21502
"G41700","2010","San Antonio-New Braunfels, TX Metro Area","41700",1070491.60,1070411,1070493,1222178.55,1222151,1222179,1617352,1287229.00,1287229,1287240,89336.00,89336,89336,106855.00,106855,106855,141468,181016.00,181016,181016,5058.00,5058,5058,13152.00,13152,13152,17322,27536.00,27536,27536,15499.00,15499,15499,24022.00,24022,24022,45330,75127.00,75127,75127,778.00,778,778,1640.00,1640,1640,2681,4282.00,4282,4282,226580.99,226578,226581,284907.00,284907,284907,248363,357888.00,357888,357896,,58948.00,58948,58948,69992,625065.00,625064,625068
"G41740","2010","San Diego-Carlsbad-San Marcos, CA Metro Area","41740",1872256.00,1872256,1872256,1871839.00,1871839,1871839,1981442,1633129.00,1633129,1633129,159306.00,159306,159306,161480.00,161480,161480,158213,155813.00,155813,155813,20066.00,20066,20066,24337.00,24337,24337,26340,40968.00,40968,40968,184596.00,184596,184596,249802.00,249802,249802,336091,410752.00,410752,410752,13715.00,13715,13715,13561.00,13561,13561,15337,15286.00,15286,15286,248077.00,248077,248077,360847.00,360847,360847,419465,520994.00,520994,520994,,131967.00,131967,131967,158425,521692.00,521692,521692
"G41780","2010","Sandusky, OH Metro Area","41780",69625.40,69288,69799,70510.82,70191,70519,67066,62157.00,62157,62218,6312.00,6311,6312,6876.00,6876,6876,6644,6808.00,6808,6808,150.00,148,150,164.00,163,164,232,195.00,195,195,258.03,258,259,298.00,298,298,463,481.00,481,481,7.00,7,7,4.00,4,4,8,11.00,11,11,439.29,439,440,420.00,420,420,524,818.00,818,818,,1275.00,1272,1275,2142,5191.00,5191,5191
"G41820","2010","Sanford, NC Micro Area","41820",31210.75,31112,31216,34336.26,34207,34343,38688,38413.00,38413,38418,9391.81,9344,9401,10026.85,9964,10032,11565,10885.00,10885,10885,169.00,169,169,205.68,203,206,407,533.00,533,539,181.00,181,181,328.00,328,328,489,663.00,663,663,10.00,10,10,19.00,19,19,20,49.00,49,49,397.00,397,397,3592.97,3591,3593,5286,7418.00,7418,7419,,518.90,511,519,1411,5324.00,5324,5324
"G41860","2010","San Francisco-Oakland-Fremont, CA Metro Area","41860",2431611.13,2431293,2431614,2340032.46,2339910,2340035,2239519,1866479.22,1866375,1866484,426319.88,426304,426320,396907.94,396903,396908,363905,335134.90,335121,335135,21462.00,21462,21462,22635.00,22635,22635,24774,48985.00,48983,48985,575751.42,575534,575753,791660.02,791397,791663,1005823,1306257.92,1305920,1306265,23411.99,23410,23412,26243.00,26243,26243,31832,33643.89,33639,33644,208030.88,208014,208031,338982.88,338972,338983,429754,604025.66,604007,604027,,207272.60,207237,207273,239784,554475.83,554435,554487
"G41940","2010","San Jose-Sunnyvale-Santa Clara, CA Metro Area","41940",1057815.95,1057807,1058271,940357.54,940355,940480,871797,649847.82,649847,649952,56415.12,56415,56431,47755.06,47755,47760,46911,45600.10,45600,45614,9622.00,9622,9622,11966.00,11966,11966,13855,23789.00,23789,23791,255559.69,255558,255779,431374.98,431372,431638,571967,761457.11,761453,761795,6712.01,6712,6714,5872.00,5872,5872,7154,7080.11,7080,7085,148160.18,148160,148186,217325.12,217325,217336,235277,291761.35,291761,291780,,81174.40,81174,81211,89950,220938.28,220938,220979
"G42020","2010","San Luis Obispo-Paso Robles, CA Metro Area","42020",193619.01,193172,193627,208699.00,208699,208699,222756,198338.00,198333,198338,5727.00,5727,5727,5002.00,5002,5002,5550,4610.00,4610,4610,2203.00,2198,2203,2335.00,2335,2335,2536,3159.00,3159,3159,5866.00,5849,5866,6568.00,6568,6568,8507,10402.00,10402,10402,329.00,329,329,286.00,286,286,389,413.00,413,413,9418.00,9391,9418,15312.00,15312,15312,19786,27444.00,27444,27444,,8479.00,8479,8479,10113,38058.00,38057,38058
"G42060","2010","Santa Barbara-Santa Maria-Goleta, CA Metro Area","42060",285462.75,285354,285978,290420.91,290311,290437,295124,224749.00,224749,224763,10402.00,10402,10402,9195.00,9195,9195,8513,7374.00,7374,7374,3351.00,3351,3356,4784.00,4784,4784,5485,9633.00,9633,9633,15784.94,15778,15802,16344.23,16343,16345,20665,26549.00,26549,26550,644.00,644,644,700.00,700,700,806,703.00,703,703,53964.98,53962,53992,60682.98,60682,60683,73860,99502.00,99502,99502,,17223.00,17223,17223,19442,79721.00,79721,79722
"G42100","2010","Santa Cruz-Watsonville, CA Metro Area","42100",192838.92,192731,192845,191931.00,191931,191931,190208,160565.00,160565,160565,2632.00,2632,2632,2477.00,2477,2477,2766,3150.00,3150,3150,1821.00,1821,1821,2461.00,2461,2461,2253,3607.00,3607,3607,8162.89,8161,8163,8789.00,8789,8789,11112,12553.00,12553,12553,349.00,349,349,382.00,382,382,349,384.00,384,384,23910.95,23910,23911,38391.00,38391,38391,43376,51894.00,51894,51894,,11171.00,11171,11171,12318,38708.00,38708,38708
"G42140","2010","Santa Fe, NM Metro Area","42140",79389.99,79214,79433,95052.95,95042,95112,109800,88911.90,88818,89769,615.00,615,615,826.00,826,826,1239,1412.00,1412,1412,2822.00,2818,2822,3982.00,3982,3983,4486,5557.99,5556,5572,463.00,463,463,1133.00,1133,1133,1672,2367.00,2367,2370,50.00,50,50,94.00,94,94,108,128.00,128,128,15588.00,15578,15599,22935.96,22934,22955,21730,22344.04,22338,22438,,5268.00,5268,5270,5135,34091.17,34076,34207
"G42220","2010","Santa Rosa-Petaluma, CA Metro Area","42220",351650.00,351650,351650,374209.00,374209,374209,371412,306684.03,306684,306702,5547.00,5547,5547,6522.00,6522,6522,7610,7615.00,7615,7615,4397.00,4397,4397,5389.00,5389,5389,6489,8855.00,8855,8857,9931.00,9931,9931,14098.00,14098,14098,18341,22845.00,22845,22845,843.00,843,843,934.00,934,934,1558,1840.00,1840,1840,15854.00,15854,15854,38717.00,38717,38717,56966,75003.01,75003,75007,,18745.00,18745,18745,21502,66021.00,66021,66021
"G42300","2010","Sault Ste. Marie, MI Micro Area","42300",28353.00,28353,28353,29247.00,29247,29247,27837,24803.00,24796,24803,2184.00,2184,2184,2127.00,2127,2127,2509,2625.00,2625,2625,3820.00,3820,3820,5131.00,5131,5131,6068,5669.00,5669,5669,148.00,148,148,177.00,177,177,230,194.00,194,194,4.00,4,4,10.00,10,10,24,12.00,12,12,95.00,95,95,142.00,142,142,66,198.00,198,198,,1709.00,1709,1709,1786,3284.00,3284,3284
"G42340","2010","Savannah, GA Metro Area","42340",165531.00,165531,165531,179441.00,179441,179441,207446,225240.00,225240,225240,88521.00,88521,88521,102158.00,102158,102158,117726,124644.00,124644,124644,542.00,542,542,773.00,773,773,945,1468.00,1468,1468,2355.00,2355,2355,4364.00,4364,4364,7224,12450.00,12450,12450,130.00,130,130,176.00,176,176,305,549.00,549,549,981.00,981,981,2403.00,2403,2403,6528,13927.00,13927,13927,,3685.00,3685,3685,7437,26520.00,26520,26520
"G42380","2010","Sayre, PA Micro Area","42380",60415.19,60309,60858,61476.67,61343,61891,61035,56026.00,56026,56026,148.99,147,149,251.00,251,252,311,404.00,404,404,117.00,117,117,193.00,193,193,154,136.00,136,136,213.00,213,213,285.00,285,285,339,465.00,465,465,1.00,1,1,4.00,4,4,7,14.00,14,14,78.00,78,78,121.00,121,121,130,284.00,284,284,,436.04,436,440,646,2638.00,2638,2638
"G42420","2010","Scottsbluff, NE Micro Area","42420",33654.05,33654,33666,33148.05,33148,33153,32967,28878.89,28849,28879,71.00,71,71,99.00,99,99,204,287.00,287,287,665.00,665,665,696.00,696,696,785,773.00,773,773,175.00,175,175,213.00,213,213,218,284.00,284,284,5.00,5,5,15.00,15,15,19,25.00,25,25,2307.00,2307,2307,2990.00,2990,2990,2741,2677.00,2677,2677,,609.00,609,609,726,3833.00,3833,3833
"G42460","2010","Scottsboro, AL Micro Area","42460",44696.00,44696,44696,49551.89,49545,49552,48348,45480.00,45480,45480,1968.00,1968,1968,2019.00,2019,2019,1781,1636.00,1636,1636,1020.00,1020,1020,946.00,946,946,719,770.00,770,770,86.00,86,86,124.00,124,124,185,214.00,214,214,4.00,4,4,13.00,13,13,48,4.00,4,4,22.00,22,22,195.00,195,195,768,921.00,921,921,,1077.00,1077,1077,1378,3554.00,3554,3554
"G42500","2010","Scottsburg, IN Micro Area","42500",20850.00,20850,20850,22648.00,22648,22648,23667,23039.00,23039,23039,16.00,16,16,11.00,11,11,57,92.00,92,92,25.00,25,25,36.00,36,36,46,28.00,28,28,48.00,48,48,42.00,42,42,108,88.00,88,88,2.00,2,2,0.00,0,0,14,17.00,17,17,50.00,50,50,99.00,99,99,111,195.00,195,195,,124.00,124,124,178,925.00,925,925
"G42540","2010","Scranton--Wilkes-Barre, PA Metro Area","42540",565336.61,565061,565916,542233.28,541944,542737,515784,460443.00,460443,460443,5665.00,5665,5666,8350.00,8349,8350,16398,24809.00,24809,24809,412.00,412,413,517.00,511,517,942,1502.00,1502,1502,2862.00,2862,2862,3539.00,3539,3540,6874,11015.00,11015,11015,71.00,71,71,71.00,71,71,115,150.00,150,150,916.00,916,917,2520.01,2520,2521,15060,33704.00,33704,33704,,3393.99,3393,3399,8458,35936.00,35936,35936
"G42580","2010","Seaford, DE Micro Area","42580",92395.00,92395,92395,125857.00,125857,125857,155663,175847.00,175847,175847,18995.00,18995,18995,23319.00,23319,23319,25115,25357.00,25357,25357,645.00,645,645,946.00,946,946,1564,1843.00,1843,1843,561.00,561,561,1172.00,1172,1172,1943,3070.00,3070,3070,28.00,28,28,68.00,68,68,150,112.00,112,112,605.00,605,605,3157.00,3157,3157,8169,14137.00,14137,14137,,2119.00,2119,2119,4541,17012.00,17012,17012
"G42620","2010","Searcy, AR Micro Area","42620",52509.00,52509,52537,62811.00,62811,62928,70425,65237.75,65083,65641,1703.00,1703,1704,2394.00,2394,2394,3074,3728.00,3728,3729,233.00,233,233,292.00,292,292,449,367.94,364,368,109.00,109,109,216.00,216,218,419,623.00,623,625,10.00,10,10,18.00,18,18,36,31.00,31,31,112.00,112,112,553.00,553,553,1259,1737.00,1736,1747,,881.00,881,881,1414,5098.14,5093,5114
