GISJOIN,GEOGYEAR,CBSA,CBSAA,CM1AA1990,CM1AA1990L,CM1AA1990U,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AA2020,CM1AA2020L,CM1AA2020U,CM1AB1990,CM1AB1990L,CM1AB1990U,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AB2020,CM1AB2020L,CM1AB2020U,CM1AC1990,CM1AC1990L,CM1AC1990U,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AC2020,CM1AC2020L,CM1AC2020U,CM1AD1990,CM1AD1990L,CM1AD1990U,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AD2020,CM1AD2020L,CM1AD2020U,CM1AE1990,CM1AE1990L,CM1AE1990U,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AE2020,CM1AE2020L,CM1AE2020U,CM1AF1990,CM1AF1990L,CM1AF1990U,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AF2020,CM1AF2020L,CM1AF2020U,CM1AG1990,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,CM1AG2020,CM1AG2020L,CM1AG2020U
"G15140","2010","Brownsville, TN Micro Area","15140",9676.00,9676,9676,9252.00,9252,9252,8617,7695.00,7695,7695,9651.00,9651,9651,10106.00,10106,10106,9465,9032.00,9032,9032,24.00,24,24,24.00,24,24,31,59.00,59,59,17.00,17,17,18.00,18,18,21,26.00,26,26,2.00,2,2,10.00,10,10,0,9.00,9,9,67.00,67,67,273.00,273,273,478,524.00,524,524,,114.00,114,114,175,519.00,519,519
"G15180","2010","Brownsville-Harlingen, TX Metro Area","15180",214424.00,214424,214424,269139.00,269139,269139,353423,162707.00,162707,162707,825.00,825,825,1617.00,1617,1617,2155,2076.00,2076,2076,413.00,413,413,1471.00,1471,1471,1688,2883.00,2883,2883,717.00,717,717,1607.00,1607,1607,2689,2806.00,2806,2806,33.00,33,33,114.00,114,114,113,149.00,149,149,43708.00,43708,43708,53581.00,53581,53581,39905,80133.00,80133,80133,,7698.00,7698,7698,6247,170263.00,170263,170263
"G15220","2010","Brownwood, TX Micro Area","15220",30267.00,30267,30366,32910.00,32910,32910,32962,29326.00,29326,29326,1552.00,1552,1552,1509.00,1509,1509,1382,1462.00,1462,1462,131.00,131,131,198.00,198,198,216,232.00,232,232,86.00,86,86,140.00,140,140,163,274.00,274,274,2.00,2,2,2.00,2,2,14,27.00,27,27,2333.00,2333,2333,2288.00,2288,2288,2569,2801.00,2801,2801,,627.00,627,627,800,3973.00,3973,3973
"G15260","2010","Brunswick, GA Metro Area","15260",61305.10,60833,61370,68201.51,67862,68228,80014,77801.00,77801,77801,20256.00,20244,20256,22449.00,22439,22449,26413,24436.00,24436,24436,165.00,165,165,238.00,235,238,343,467.00,467,467,288.00,288,288,453.00,453,453,1004,1274.00,1274,1274,23.00,23,23,37.00,37,37,107,124.00,124,124,167.98,165,168,675.00,674,676,2610,3285.00,3285,3285,,987.95,983,988,1879,6108.00,6108,6108
"G15340","2010","Bucyrus, OH Micro Area","15340",47361.00,47361,47361,46022.00,46022,46022,42556,39652.00,39652,39652,253.00,253,253,279.00,279,279,378,319.00,319,319,67.00,67,67,93.00,93,93,60,40.00,40,40,112.00,112,112,145.00,145,145,156,137.00,137,137,4.00,4,4,9.00,9,9,7,12.00,12,12,73.00,73,73,113.00,113,113,139,181.00,181,181,,305.00,305,305,488,1684.00,1684,1684
"G15380","2010","Buffalo-Niagara Falls, NY Metro Area","15380",1037210.93,1037181,1037211,980345.92,980315,980346,926917,869384.00,869384,869384,121955.99,121951,121956,137049.00,137049,137049,138782,151535.00,151535,151535,7611.00,7611,7611,7824.00,7824,7824,8193,8022.00,8022,8022,10909.00,10909,10909,15102.00,15102,15102,25612,48843.00,48843,48843,117.00,117,117,274.00,274,274,281,327.00,327,327,11484.00,11484,11484,14375.00,14375,14375,14535,24611.00,24611,24611,,15141.00,15141,15141,21189,64180.00,64180,64180
"G15420","2010","Burley, ID Micro Area","15420",34120.14,34120,34144,33885.85,33884,33897,34872,32387.78,32361,32397,46.00,46,46,89.00,89,89,141,107.00,107,107,371.00,371,371,349.00,349,349,426,538.00,536,538,191.00,191,191,163.00,163,163,196,197.00,196,197,5.00,5,5,15.00,15,15,17,50.00,50,50,4160.02,4160,4162,6179.00,6179,6179,6342,8381.00,8372,8381,,909.00,909,909,1027,4607.00,4603,4607
"G15460","2010","Burlington, IA-IL Micro Area","15460",48846.00,48846,48846,47769.00,47769,47769,43902,39256.00,39256,39278,1335.00,1335,1335,1532.00,1532,1532,2063,2562.00,2562,2562,98.00,98,98,113.00,113,113,114,90.00,90,90,226.00,226,226,259.00,259,259,305,420.00,420,420,9.00,9,9,19.00,19,19,26,27.00,27,27,196.00,196,196,304.00,304,304,245,503.00,503,503,,568.00,568,568,1001,2439.00,2439,2439
"G15500","2010","Burlington, NC Metro Area","15500",86366.22,86289,86440,98900.50,98785,98981,107420,105752.21,105278,105969,20821.77,20780,20838,24543.87,24526,24560,28369,33974.00,33953,33985,303.00,303,303,462.00,462,462,1020,1425.00,1425,1428,475.00,475,475,1172.00,1172,1172,1837,2846.00,2844,2848,12.00,12,12,28.00,28,28,58,105.00,105,105,228.00,228,228,4177.00,4177,4177,9291,15432.07,15421,15436,,1516.96,1516,1517,3136,11716.06,11697,11722
"G15540","2010","Burlington-South Burlington, VT Metro Area","15540",173363.83,173162,174006,189792.34,189666,190388,197041,196485.05,196219,196799,892.00,892,894,1476.00,1475,1478,3557,5299.00,5299,5299,902.00,901,902,1147.00,1147,1149,980,928.15,926,929,1546.00,1546,1546,3048.01,3048,3052,4651,7597.01,7597,7599,30.00,30,30,46.00,46,46,66,69.00,69,69,323.00,323,323,595.00,595,595,748,1887.00,1886,1887,,2782.02,2782,2789,4218,13306.29,13303,13317
"G15580","2010","Butte-Silver Bow, MT Micro Area","15580",33024.34,32893,33144,32996.03,32920,33033,32292,31807.24,31787,31808,33.00,33,33,54.00,54,54,111,132.00,132,132,520.01,520,523,704.00,704,704,655,565.00,565,565,120.00,120,120,149.00,149,149,165,219.00,219,219,18.00,18,18,21.00,21,21,23,20.00,20,20,224.00,223,225,205.00,205,205,233,338.00,338,338,,475.00,474,475,721,2062.00,2062,2062
"G15620","2010","Cadillac, MI Micro Area","15620",38055.00,38055,38208,43775.00,43771,43954,46009,45210.00,45155,45210,37.00,37,37,86.00,86,86,172,226.00,226,226,252.00,252,252,297.00,297,297,289,249.00,249,249,107.00,107,107,162.00,162,162,241,232.00,232,232,5.00,5,5,9.00,9,9,19,2.00,2,2,51.00,51,51,128.00,128,128,182,429.00,429,429,,505.00,505,505,672,2377.00,2374,2377
"G15660","2010","Calhoun, GA Micro Area","15660",33498.70,33297,33711,39559.47,39371,39764,47032,45094.03,44656,45135,1321.01,1321,1333,1527.00,1525,1530,2005,2145.45,2129,2147,86.02,86,87,121.00,121,121,202,358.00,358,358,124.00,124,124,234.00,234,234,540,721.92,720,722,0.00,0,0,24.00,24,24,71,21.00,21,21,54.00,54,54,2195.00,2195,2200,4252,4576.86,4569,4577,,446.02,446,447,1084,4580.80,4571,4584
"G15700","2010","Cambridge, MD Micro Area","15700",21548.00,21548,21548,21302.00,21302,21302,22065,20128.00,20128,20128,8423.00,8423,8423,8708.00,8708,8708,9042,9140.00,9140,9140,51.00,51,51,70.00,70,70,112,132.00,132,132,135.00,135,135,202.00,202,202,301,355.00,355,355,3.00,3,3,1.00,1,1,9,9.00,9,9,76.00,76,76,119.00,119,119,463,958.00,958,958,,272.00,272,272,626,1809.00,1809,1809
"G15740","2010","Cambridge, OH Micro Area","15740",38166.00,38166,38166,39275.00,39275,39275,38486,35898.00,35898,35898,616.00,616,616,623.00,623,623,590,535.00,535,535,70.00,70,70,125.00,125,125,100,94.00,94,94,137.00,137,137,122.00,122,122,110,154.00,154,154,4.00,4,4,2.00,2,2,10,8.00,8,8,31.00,31,31,91.00,91,91,76,184.00,184,184,,554.00,554,554,715,1565.00,1565,1565
"G15780","2010","Camden, AR Micro Area","15780",24058.87,24035,24064,21479.88,21451,21480,18884,15732.99,15685,15757,12186.00,12186,12186,12468.00,12468,12468,11660,9812.00,9811,9813,49.00,49,49,85.00,85,85,101,81.00,81,81,65.00,65,65,72.00,72,72,106,132.00,132,132,9.00,9,9,8.00,8,8,6,12.00,12,12,32.00,32,32,129.00,129,129,236,279.00,279,279,,292.00,292,292,495,1340.00,1339,1341
"G15820","2010","Campbellsville, KY Micro Area","15820",20021.27,19767,20043,21476.25,21157,21518,22539,22938.00,22938,22938,1081.00,1077,1081,1159.00,1157,1159,1216,1255.00,1255,1255,17.00,17,17,23.00,23,23,31,32.00,32,32,29.00,29,29,41.00,41,41,129,246.00,246,246,1.00,1,1,5.00,5,5,10,10.00,10,10,1.00,1,1,73.00,73,73,187,379.00,379,379,,161.00,161,161,400,1163.00,1163,1163
"G15860","2010","Cañon City, CO Micro Area","15860",30555.00,30555,30556,41311.00,41311,41327,42225,39965.00,39913,39965,848.00,848,848,2464.00,2464,2464,1843,1848.00,1845,1848,329.00,329,329,706.00,706,706,810,850.00,850,850,101.00,101,101,232.00,232,232,282,338.00,338,338,11.00,11,11,26.00,26,26,22,30.00,30,30,429.00,429,429,564.00,564,564,761,2515.00,2513,2515,,842.00,842,842,881,3393.00,3391,3393
"G15900","2010","Canton, IL Micro Area","15900",37117.00,37117,37117,36384.00,36384,36384,34625,30802.97,30773,30837,668.00,668,668,1378.00,1378,1378,1269,1125.00,1125,1125,83.00,83,83,68.00,68,68,131,63.00,63,63,103.00,103,103,93.00,93,93,112,69.00,69,69,2.00,2,2,6.00,6,6,2,6.00,6,6,107.00,107,107,111.00,111,111,596,475.00,475,475,,210.00,210,210,334,1068.00,1068,1069
"G15940","2010","Canton-Massillon, OH Metro Area","15940",365676.21,365597,365930,369660.06,369585,369897,361393,338659.00,338527,338690,25187.00,25187,25187,27374.00,27374,27374,28676,29240.16,29216,29241,1015.00,1015,1015,1013.00,1013,1013,1038,1225.00,1225,1225,1511.00,1511,1515,2092.32,2091,2093,2821,3252.00,3251,3252,47.00,47,47,64.00,64,64,85,123.00,123,123,671.00,671,671,1124.00,1124,1124,1767,4195.00,4195,4195,,5609.21,5606,5615,8642,24875.44,24862,24879
"G15980","2010","Cape Coral-Fort Myers, FL Metro Area","15980",306200.00,306200,306200,386598.00,386598,386598,513496,530638.88,530637,530696,22184.00,22184,22184,29035.00,29035,29035,51069,58916.00,58916,58916,672.00,672,672,1248.00,1248,1248,2193,3828.00,3828,3828,1820.00,1820,1820,3400.00,3400,3400,8461,13090.00,13090,13090,74.00,74,74,209.00,209,209,380,312.00,312,312,4163.00,4163,4163,13545.00,13545,13545,30290,56861.16,56861,56866,,6853.00,6853,6853,12865,97178.45,97178,97192
"G16020","2010","Cape Girardeau-Jackson, MO-IL Metro Area","16020",75563.00,75563,75585,81093.00,81093,81110,84261,81179.99,81167,81184,6493.00,6493,6493,6996.00,6996,6996,8277,8159.00,8159,8159,151.00,151,151,362.00,362,362,289,284.00,284,284,547.00,547,547,576.00,576,576,940,1343.00,1343,1343,4.00,4,4,20.00,20,20,29,18.00,18,18,120.00,120,120,279.00,279,279,842,1013.00,1013,1013,,986.00,986,986,1637,5520.00,5520,5520
"G16060","2010","Carbondale, IL Micro Area","16060",51991.02,51991,52008,48158.02,48158,48176,46875,38171.13,38080,38277,6342.00,6342,6342,7759.00,7759,7759,8589,7598.00,7596,7598,109.00,109,109,184.00,184,184,227,208.00,207,208,2156.00,2156,2156,1806.00,1806,1806,1910,2056.00,2052,2056,22.00,22,22,35.00,35,35,32,31.00,31,31,447.00,447,447,596.00,596,596,992,1438.00,1437,1439,,1074.00,1074,1075,1593,3472.01,3464,3481
"G16100","2010","Carlsbad-Artesia, NM Micro Area","16100",39597.00,39538,39597,39438.00,39438,39438,41667,36266.00,36259,36274,826.00,826,826,805.00,805,805,743,977.00,977,977,249.00,249,249,646.00,646,646,810,922.00,921,922,190.00,190,190,231.00,231,231,356,597.00,597,597,11.00,11,11,47.00,47,47,22,61.00,61,61,7732.00,7729,7732,9129.00,9129,9129,8629,11825.01,11823,11836,,1362.00,1362,1362,1602,11666.01,11654,11669
"G16180","2010","Carson City, NV Metro Area","16180",36693.00,36686,36693,44744.00,44744,44744,44807,39852.00,39852,39852,698.00,698,698,946.00,946,946,1054,1142.00,1142,1142,1106.00,1106,1106,1259.00,1259,1259,1306,1459.00,1459,1459,520.00,520,520,930.00,930,930,1181,1416.00,1416,1416,49.00,49,49,76.00,76,76,101,135.00,135,135,1377.00,1377,1377,3391.00,3391,3391,5205,7093.00,7093,7093,,1111.00,1111,1111,1620,7542.00,7542,7542
"G16220","2010","Casper, WY Metro Area","16220",59323.00,59323,59365,62644.00,62644,62665,70015,69319.00,69319,69319,458.00,458,458,505.00,505,505,665,791.00,791,791,404.00,404,404,686.00,686,686,781,1053.00,1053,1053,262.00,262,262,277.00,277,277,510,649.00,649,649,18.00,18,18,25.00,25,25,39,92.00,92,92,761.00,761,762,1275.00,1275,1275,1630,2085.00,2085,2085,,1121.00,1121,1121,1810,5966.00,5966,5966
"G16260","2010","Cedar City, UT Micro Area","16260",19922.00,19914,19922,31416.00,31416,31416,41848,49237.00,49231,49687,43.00,43,43,119.00,119,119,227,408.00,408,411,635.00,635,635,737.00,737,737,1019,1091.00,1091,1095,58.00,58,58,251.00,251,251,349,641.00,641,642,40.00,40,40,92.00,92,92,139,244.00,244,244,91.00,90,91,600.00,600,600,1502,2121.00,2121,2129,,564.00,564,564,1079,3547.00,3547,3565
"G16300","2010","Cedar Rapids, IA Metro Area","16300",204536.84,204519,204537,224562.89,224546,224563,237354,234145.98,234051,234166,3653.00,3653,3653,5331.00,5331,5331,8856,17004.00,17004,17004,429.00,429,429,519.00,519,519,659,636.00,636,636,1439.00,1439,1439,2721.00,2721,2721,3962,5516.00,5516,5516,26.00,26,26,95.00,95,95,184,532.00,532,532,556.00,556,556,954.00,954,954,1630,3331.00,3331,3331,,3047.00,3047,3047,5295,15355.00,15355,15355
"G16340","2010","Cedartown, GA Micro Area","16340",28554.07,28517,28561,30697.01,30681,30700,31974,31249.00,31249,31249,4791.00,4791,4791,5085.00,5085,5085,5190,5212.00,5212,5212,59.00,59,59,84.00,84,84,115,325.00,325,325,85.00,85,85,119.00,119,119,281,240.00,240,240,2.00,2,2,17.00,17,17,36,26.00,26,26,317.00,317,317,1761.00,1761,1761,3120,3355.00,3355,3355,,361.00,361,361,759,2446.00,2446,2446
"G16380","2010","Celina, OH Micro Area","16380",39131.00,39131,39131,40286.00,40286,40286,39761,40057.00,40057,40057,14.00,14,14,39.00,39,39,101,204.00,204,204,85.00,85,85,105.00,105,105,101,82.00,82,82,93.00,93,93,117.00,117,117,181,189.00,189,189,7.00,7,7,9.00,9,9,71,566.00,566,566,113.00,113,113,138.00,138,138,229,339.00,339,339,,230.00,230,230,370,1091.00,1091,1091
"G16420","2010","Central City, KY Micro Area","16420",29927.69,29917,30068,29988.89,29983,30105,29514,28366.00,28366,28366,1287.00,1287,1293,1480.00,1480,1480,1426,1215.00,1215,1215,40.00,40,41,40.00,40,40,46,65.00,65,65,33.00,33,33,40.00,40,40,43,59.00,59,59,0.00,0,0,1.00,1,1,5,3.00,3,3,30.00,30,30,61.00,61,61,119,222.00,222,222,,228.00,228,228,346,998.00,998,998
"G16460","2010","Centralia, IL Micro Area","16460",39660.61,39647,39763,39221.88,39209,39315,36734,33440.00,33440,33522,1519.10,1519,1522,1599.29,1598,1608,1557,1514.00,1514,1524,106.09,106,108,90.00,90,90,122,116.00,116,116,224.00,224,224,237.00,237,237,224,349.00,349,349,8.00,8,8,16.12,16,17,9,4.00,4,4,57.21,57,60,93.00,93,93,165,243.00,243,247,,448.00,448,448,626,2063.00,2063,2073
"G16500","2010","Centralia, WA Micro Area","16500",57661.18,56988,58015,63770.76,63035,63878,67712,67817.83,66938,68115,189.00,188,189,259.00,259,259,405,564.00,563,567,640.90,635,644,839.94,823,840,1073,1190.01,1179,1204,320.00,312,325,475.00,474,476,664,823.83,813,829,52.00,52,52,122.00,122,122,117,158.00,157,158,493.00,491,493,1751.00,1746,1751,3047,4222.65,4192,4232,,1381.00,1359,1382,2437,7363.57,7300,7406
"G16540","2010","Chambersburg, PA Micro Area","16540",117071.92,116212,117314,123278.01,122487,123461,137674,134480.00,134480,134480,2770.95,2749,2776,3015.89,2993,3016,4700,5338.00,5338,5338,175.99,174,176,192.00,191,193,302,488.00,488,488,603.96,595,604,716.98,712,717,1310,1442.00,1442,1442,14.99,14,15,39.99,38,40,29,52.00,52,52,443.99,443,444,959.99,959,960,2849,5150.00,5150,5150,,1108.99,1107,1109,2754,8931.00,8931,8931
"G16580","2010","Champaign-Urbana, IL Metro Area","16580",176170.89,176155,176171,171690.83,171678,171691,177670,157232.95,157187,157351,16610.00,16610,16610,20119.00,20119,20119,25089,28834.00,28834,28834,361.00,361,361,460.00,460,460,611,839.00,839,839,8019.00,8019,8019,11659.00,11659,11659,18057,24633.00,24633,24633,65.00,65,65,75.00,75,75,140,85.00,85,85,1622.00,1622,1622,2496.00,2496,2496,4486,8064.00,8064,8064,,3775.00,3775,3775,5838,16383.99,16382,16385
"G16620","2010","Charleston, WV Metro Area","16620",291413.15,290736,291842,288733.27,288017,289147,280766,255175.14,254946,255244,14140.00,14140,14140,14430.00,14430,14430,14751,14445.00,14445,14445,344.00,342,344,641.00,637,646,606,595.00,595,595,1467.00,1464,1467,2028.01,2028,2030,2462,2804.00,2804,2804,27.00,27,27,59.00,59,59,68,60.00,60,60,298.00,298,298,531.00,531,531,737,1824.00,1824,1824,,3214.01,3211,3215,4894,13534.01,13534,13535
"G16660","2010","Charleston-Mattoon, IL Micro Area","16660",60804.00,60804,60804,61857.00,61857,61857,60885,50822.46,50811,50922,930.00,930,930,1227.00,1227,1227,2105,2111.00,2111,2111,98.00,98,98,127.00,127,127,121,136.00,136,136,353.00,353,353,436.00,436,436,558,646.00,646,646,14.00,14,14,26.00,26,26,13,31.00,31,31,115.00,115,115,245.00,245,245,334,943.00,943,943,,531.00,531,531,905,2624.00,2624,2624
"G16700","2010","Charleston-North Charleston-Summerville, SC Metro Area","16700",343775.80,343603,343776,357423.49,357405,357491,435763,511610.00,511610,511610,153226.12,153157,153227,169076.60,169010,169079,184019,183724.00,183724,183724,1613.00,1613,1613,2264.00,2264,2264,3039,4127.00,4127,4127,5835.00,5835,5835,7220.00,7220,7220,10817,16333.00,16333,16333,278.00,278,278,352.00,352,352,629,751.00,751,751,2146.00,2146,2146,5359.00,5359,5359,16445,30937.00,30937,30937,,7336.00,7336,7336,13895,52154.00,52154,52154
"G16740","2010","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","16740",786340.40,785751,787600,954580.92,954384,955662,1145080,1183307.47,1182458,1184235,220913.59,220724,221338,295531.30,295499,295813,421105,502172.87,502066,502264,3794.03,3794,3802,5398.00,5398,5405,8684,12522.00,12516,12528,10560.89,10555,10569,27215.88,27215,27218,55315,106179.30,106171,106226,155.00,155,155,496.00,496,496,989,1119.00,1119,1119,2648.32,2648,2651,30802.00,30802,30802,87467,148597.83,148559,148630,,16562.19,16562,16571,39398,157881.28,157832,157939
"G16820","2010","Charlottesville, VA Metro Area","16820",119290.25,118779,119322,140539.16,139758,140568,159144,161754.40,160587,162096,21299.33,21152,21302,24481.28,24366,24492,25109,23785.21,23599,23813,162.97,161,163,278.00,278,278,508,617.64,616,625,2610.00,2608,2610,4670.00,4666,4670,7869,13049.22,13024,13052,39.00,39,39,46.00,46,46,86,87.99,86,88,476.82,476,477,1385.25,1380,1386,3949,6831.00,6794,6837,,2611.84,2603,2612,4894,15368.29,15258,15387
"G16860","2010","Chattanooga, TN-GA Metro Area","16860",370567.97,369907,370812,396171.15,396091,396609,428496,430180.91,430180,430248,58218.00,58217,58218,66251.57,66251,66257,73299,70418.00,70418,70418,890.99,889,891,1425.41,1425,1426,1800,2594.00,2594,2594,2771.00,2771,2771,4599.06,4597,4602,7261,9899.00,9899,9899,54.00,54,54,230.00,230,230,375,301.00,301,301,690.00,690,690,2912.23,2912,2914,8368,14869.00,14869,14869,,4907.72,4907,4918,8544,34386.07,34386,34392
"G16900","2010","Chester, SC Micro Area","16900",19178.00,19168,19185,20416.00,20416,20416,19814,18759.19,18759,18789,12852.00,12837,12965,13168.00,13168,13168,12387,11330.00,11330,11331,71.00,71,72,112.00,112,112,136,172.00,172,172,35.00,35,35,96.00,96,96,109,149.00,149,149,1.00,1,1,2.00,2,2,5,14.00,14,14,33.00,33,33,85.00,85,85,187,472.00,472,472,,189.00,189,189,502,1398.25,1398,1403
"G16940","2010","Cheyenne, WY Metro Area","16940",66280.00,66276,66290,72562.97,72549,72574,81205,80598.00,80598,80598,2218.00,2218,2218,2124.00,2124,2124,2248,2472.00,2472,2472,528.00,528,528,693.00,693,693,878,1123.00,1123,1123,741.00,741,741,777.00,777,777,976,1296.00,1296,1296,80.00,80,80,89.00,89,89,142,172.00,172,172,3295.00,3295,3295,3267.00,3267,3267,3478,4538.00,4538,4538,,2094.00,2094,2094,2811,10313.00,10313,10313
"G16980","2010","Chicago-Joliet-Naperville, IL-IN-WI Metro Area","16980",5883173.12,5883165,5883214,6082324.11,6082324,6082361,6183881,5197611.36,5197580,5197787,1549914.00,1549914,1549914,1691682.00,1691682,1691682,1645993,1576952.00,1576952,1576952,15980.00,15980,15980,24279.00,24279,24279,36525,87573.20,87573,87574,255666.00,255666,255666,388204.00,388204,388204,532801,685894.00,685894,685894,2199.00,2199,2199,3826.00,3826,3826,2961,3424.00,3424,3424,475144.00,475144,475144,706874.00,706874,706874,828776,1084012.00,1084012,1084012,,201127.00,201127,201127,230168,983036.21,983036,983041
"G17020","2010","Chico, CA Metro Area","17020",165199.19,165072,165353,171726.91,171647,171862,180096,149557.00,149557,149557,2360.98,2359,2367,2816.00,2816,2820,3415,3644.00,3644,3644,3240.99,3239,3252,3866.00,3866,3866,4395,4492.00,4492,4492,4927.00,4924,4929,6752.00,6752,6752,9057,10533.00,10533,10533,243.00,243,243,296.00,296,296,452,573.00,573,573,6148.00,6135,6149,9790.00,9782,9790,12141,18148.00,18148,18148,,7923.00,7921,7930,10444,24685.00,24685,24685
"G17060","2010","Chillicothe, OH Micro Area","17060",64362.09,64362,64454,67288.12,67288,67411,70835,68104.00,68104,68104,4467.00,4467,4467,4544.00,4544,4544,4840,4044.00,4044,4044,155.00,155,155,226.00,226,226,232,212.00,212,212,261.00,261,261,259.00,259,259,300,372.00,372,372,5.00,5,5,14.00,14,14,9,20.00,20,20,80.00,80,80,136.00,136,136,216,397.00,397,397,,878.00,878,878,1632,3944.00,3944,3944
"G17140","2010","Cincinnati-Middletown, OH-KY-IN Metro Area","17140",1620915.17,1620573,1621044,1718700.96,1718521,1718839,1766445,1724891.90,1724325,1725245,204274.00,204274,204274,231064.00,231064,231064,255905,273299.45,273266,273303,2576.00,2576,2576,3670.00,3670,3670,4105,5980.00,5980,5980,14128.00,14128,14128,24682.00,24682,24682,40422,67638.57,67593,67641,232.00,232,232,556.00,556,556,1397,2033.00,2033,2033,2792.00,2792,2792,9149.00,9149,9149,22490,47188.75,47185,47189,,21810.00,21809,21810,39387,128750.48,128716,128765
"G17200","2010","Claremont, NH Micro Area","17200",38221.05,38214,38306,39645.06,39645,39737,42421,39413.61,39087,39481,64.00,64,64,96.00,96,96,185,202.93,200,203,128.00,128,128,119.00,119,119,129,155.00,155,155,141.00,141,141,150.00,150,151,271,404.52,402,405,5.00,5,5,9.00,9,9,5,6.00,6,6,33.00,33,33,58.00,58,58,117,310.83,310,311,,381.00,381,382,614,2562.46,2550,2569
"G17220","2010","Clarksburg, WV Micro Area","17220",90000.86,89917,90001,89338.76,89233,89339,90742,83348.00,83343,83348,1073.00,1073,1073,1259.00,1259,1259,1357,1406.00,1406,1406,140.00,139,140,156.00,156,156,199,194.00,194,194,213.00,213,213,446.00,446,446,401,545.00,545,545,13.00,13,13,25.00,25,25,17,28.00,28,28,69.00,69,69,165.00,165,165,148,460.00,460,460,,754.00,754,754,1332,4453.00,4453,4453
"G17260","2010","Clarksdale, MS Micro Area","17260",11001.00,10993,11001,8965.00,8965,8965,5989,4312.00,4312,4328,20454.00,20447,20454,21192.00,21192,21192,19752,16281.00,16281,16281,20.00,20,20,27.00,27,27,23,31.00,31,31,110.00,110,110,144.00,144,144,123,116.00,116,116,2.00,2,2,5.00,5,5,4,2.00,2,2,78.00,78,78,104.00,104,104,128,222.00,222,223,,185.00,185,185,132,426.00,426,426
"G17300","2010","Clarksville, TN-KY Metro Area","17300",146974.31,146842,147048,172052.94,171993,172075,200618,210825.99,210794,210826,36124.00,36106,36124,44387.99,44385,44388,50048,61220.00,61216,61220,759.00,759,761,1186.00,1186,1186,1530,1656.00,1656,1656,2331.00,2331,2331,3327.00,3327,3327,4505,6279.00,6279,6279,421.00,421,421,522.00,522,522,975,1254.00,1254,1254,2669.00,2669,2669,4604.00,4604,4604,5771,10344.00,10340,10344,,5920.00,5920,5920,10502,28956.00,28956,28956
"G17340","2010","Clearlake, CA Micro Area","17340",46486.00,46486,46486,50289.00,50289,50289,52033,46858.00,46858,46858,933.00,933,933,1233.00,1233,1233,1232,1199.00,1199,1199,1159.00,1159,1159,1772.00,1772,1772,2049,2356.00,2356,2356,385.00,385,385,482.00,482,482,724,1004.00,1004,1004,90.00,90,90,93.00,93,93,108,106.00,106,106,1578.00,1578,1578,2398.00,2398,2398,5455,7699.00,7699,7699,,2042.00,2042,2042,3064,8941.00,8941,8941
"G17380","2010","Cleveland, MS Micro Area","17380",15259.00,15259,15259,13507.00,13507,13507,11446,10111.00,10111,10111,26326.00,26326,26326,26458.00,26458,26458,21920,19365.00,19365,19365,26.00,26,26,40.00,40,40,42,27.00,27,27,137.00,137,137,200.00,200,200,189,262.00,262,262,1.00,1,1,6.00,6,6,11,0.00,0,0,126.00,126,126,196.00,196,196,324,419.00,419,419,,226.00,226,226,213,801.00,801,801
"G17420","2010","Cleveland, TN Metro Area","17420",83704.38,83580,83748,97577.52,97379,97629,105783,105984.90,105967,105990,2900.00,2900,2900,3532.99,3532,3533,4269,5300.00,5300,5300,225.00,225,225,294.00,294,294,394,514.00,514,514,261.00,261,261,520.00,520,520,861,1232.00,1232,1232,13.00,13,13,17.00,17,17,61,141.00,141,141,253.00,253,253,799.00,799,799,2439,4003.00,4003,4003,,1274.98,1271,1275,1981,8988.99,8987,8989
"G17460","2010","Cleveland-Elyria-Mentor, OH Metro Area","17460",1677297.03,1677130,1677604,1634926.81,1634840,1635118,1538382,1439187.32,1439077,1439256,376847.90,376845,376849,413797.00,413797,413797,416528,410205.00,410205,410205,3775.73,3775,3776,3926.00,3926,3926,4056,4759.00,4759,4759,21735.97,21734,21736,30350.00,30350,30350,40522,53852.00,53852,53852,271.00,271,271,488.00,488,488,398,518.00,518,518,22299.00,22299,22299,31125.00,31125,31125,35224,53503.00,53503,53503,,33530.00,33530,33530,42130,126194.74,126189,126199
"G17500","2010","Clewiston, FL Micro Area","17500",18592.04,18339,19103,23926.21,23603,23939,23436,18441.66,18265,18444,4311.00,4311,4311,5340.00,5334,5340,5261,4357.00,4356,4357,543.00,541,543,291.00,290,291,672,647.69,646,648,97.00,97,97,162.00,162,162,279,350.00,350,350,2.00,2,2,12.00,12,12,24,14.00,14,14,2228.00,2213,2249,5312.00,5248,5312,8421,8016.84,7986,8017,,1167.00,1159,1167,1047,7782.55,7752,7783
