GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMWBE001,NAME_M,AMWBM001
"G53005300703102","2016-2020","WA",,,"Washington","53","Pierce County","053",,,"070310","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530530703102",,,"Block Group 2, Census Tract 703.10, Pierce County, Washington",311600,"Block Group 2, Census Tract 703.10, Pierce County, Washington",35686
"G53005300703103","2016-2020","WA",,,"Washington","53","Pierce County","053",,,"070310","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530530703103",,,"Block Group 3, Census Tract 703.10, Pierce County, Washington",405400,"Block Group 3, Census Tract 703.10, Pierce County, Washington",38650
"G53005300703104","2016-2020","WA",,,"Washington","53","Pierce County","053",,,"070310","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530530703104",,,"Block Group 4, Census Tract 703.10, Pierce County, Washington",353000,"Block Group 4, Census Tract 703.10, Pierce County, Washington",33646
"G53005300703111","2016-2020","WA",,,"Washington","53","Pierce County","053",,,"070311","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530530703111",,,"Block Group 1, Census Tract 703.11, Pierce County, Washington",320300,"Block Group 1, Census Tract 703.11, Pierce County, Washington",38604
"G53005300703112","2016-2020","WA",,,"Washington","53","Pierce County","053",,,"070311","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530530703112",,,"Block Group 2, Census Tract 703.11, Pierce County, Washington",346100,"Block Group 2, Census Tract 703.11, Pierce County, Washington",20449
"G53005300703113","2016-2020","WA",,,"Washington","53","Pierce County","053",,,"070311","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530530703113",,,"Block Group 3, Census Tract 703.11, Pierce County, Washington",293600,"Block Group 3, Census Tract 703.11, Pierce County, Washington",31496
"G53005300703121","2016-2020","WA",,,"Washington","53","Pierce County","053",,,"070312","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530530703121",,,"Block Group 1, Census Tract 703.12, Pierce County, Washington",467600,"Block Group 1, Census Tract 703.12, Pierce County, Washington",55497
"G53005300703122","2016-2020","WA",,,"Washington","53","Pierce County","053",,,"070312","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530530703122",,,"Block Group 2, Census Tract 703.12, Pierce County, Washington",355500,"Block Group 2, Census Tract 703.12, Pierce County, Washington",20439
"G53005300703123","2016-2020","WA",,,"Washington","53","Pierce County","053",,,"070312","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530530703123",,,"Block Group 3, Census Tract 703.12, Pierce County, Washington",432000,"Block Group 3, Census Tract 703.12, Pierce County, Washington",32063
"G53005300703124","2016-2020","WA",,,"Washington","53","Pierce County","053",,,"070312","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530530703124",,,"Block Group 4, Census Tract 703.12, Pierce County, Washington",364000,"Block Group 4, Census Tract 703.12, Pierce County, Washington",33281
