GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G12460","2011-2015","US",,,,,,,,,,,,,,,,"Bainbridge, GA Micro Area","12460",,,,,,,,,,,,,,,,,"31000US12460",,,"Bainbridge, GA Micro Area",114400,"Bainbridge, GA Micro Area",10928
"G12540","2011-2015","US",,,,,,,,,,,,,,,,"Bakersfield, CA Metro Area","12540",,,,,,,,,,,,,,,,,"31000US12540",,,"Bakersfield, CA Metro Area",167400,"Bakersfield, CA Metro Area",1619
"G12580","2011-2015","US",,,,,,,,,,,,,,,,"Baltimore-Columbia-Towson, MD Metro Area","12580",,,,,,,,,,,,,,,,,"31000US12580",,,"Baltimore-Columbia-Towson, MD Metro Area",277500,"Baltimore-Columbia-Towson, MD Metro Area",1111
"G12620","2011-2015","US",,,,,,,,,,,,,,,,"Bangor, ME Metro Area","12620",,,,,,,,,,,,,,,,,"31000US12620",,,"Bangor, ME Metro Area",137400,"Bangor, ME Metro Area",2809
"G12660","2011-2015","US",,,,,,,,,,,,,,,,"Baraboo, WI Micro Area","12660",,,,,,,,,,,,,,,,,"31000US12660",,,"Baraboo, WI Micro Area",166700,"Baraboo, WI Micro Area",3358
"G12680","2011-2015","US",,,,,,,,,,,,,,,,"Bardstown, KY Micro Area","12680",,,,,,,,,,,,,,,,,"31000US12680",,,"Bardstown, KY Micro Area",133600,"Bardstown, KY Micro Area",5685
"G12700","2011-2015","US",,,,,,,,,,,,,,,,"Barnstable Town, MA Metro Area","12700",,,,,,,,,,,,,,,,,"31000US12700",,,"Barnstable Town, MA Metro Area",363500,"Barnstable Town, MA Metro Area",3805
"G12740","2011-2015","US",,,,,,,,,,,,,,,,"Barre, VT Micro Area","12740",,,,,,,,,,,,,,,,,"31000US12740",,,"Barre, VT Micro Area",211200,"Barre, VT Micro Area",5329
"G12780","2011-2015","US",,,,,,,,,,,,,,,,"Bartlesville, OK Micro Area","12780",,,,,,,,,,,,,,,,,"31000US12780",,,"Bartlesville, OK Micro Area",111300,"Bartlesville, OK Micro Area",3358
"G12820","2011-2015","US",,,,,,,,,,,,,,,,"Bastrop, LA Micro Area","12820",,,,,,,,,,,,,,,,,"31000US12820",,,"Bastrop, LA Micro Area",80600,"Bastrop, LA Micro Area",4411
"G12860","2011-2015","US",,,,,,,,,,,,,,,,"Batavia, NY Micro Area","12860",,,,,,,,,,,,,,,,,"31000US12860",,,"Batavia, NY Micro Area",107000,"Batavia, NY Micro Area",2437
"G12900","2011-2015","US",,,,,,,,,,,,,,,,"Batesville, AR Micro Area","12900",,,,,,,,,,,,,,,,,"31000US12900",,,"Batesville, AR Micro Area",96000,"Batesville, AR Micro Area",6356
"G12940","2011-2015","US",,,,,,,,,,,,,,,,"Baton Rouge, LA Metro Area","12940",,,,,,,,,,,,,,,,,"31000US12940",,,"Baton Rouge, LA Metro Area",161800,"Baton Rouge, LA Metro Area",1129
"G12980","2011-2015","US",,,,,,,,,,,,,,,,"Battle Creek, MI Metro Area","12980",,,,,,,,,,,,,,,,,"31000US12980",,,"Battle Creek, MI Metro Area",96000,"Battle Creek, MI Metro Area",2401
"G13020","2011-2015","US",,,,,,,,,,,,,,,,"Bay City, MI Metro Area","13020",,,,,,,,,,,,,,,,,"31000US13020",,,"Bay City, MI Metro Area",92800,"Bay City, MI Metro Area",2164
"G13060","2011-2015","US",,,,,,,,,,,,,,,,"Bay City, TX Micro Area","13060",,,,,,,,,,,,,,,,,"31000US13060",,,"Bay City, TX Micro Area",93700,"Bay City, TX Micro Area",8889
"G13100","2011-2015","US",,,,,,,,,,,,,,,,"Beatrice, NE Micro Area","13100",,,,,,,,,,,,,,,,,"31000US13100",,,"Beatrice, NE Micro Area",108300,"Beatrice, NE Micro Area",5437
"G13140","2011-2015","US",,,,,,,,,,,,,,,,"Beaumont-Port Arthur, TX Metro Area","13140",,,,,,,,,,,,,,,,,"31000US13140",,,"Beaumont-Port Arthur, TX Metro Area",97700,"Beaumont-Port Arthur, TX Metro Area",1686
"G13180","2011-2015","US",,,,,,,,,,,,,,,,"Beaver Dam, WI Micro Area","13180",,,,,,,,,,,,,,,,,"31000US13180",,,"Beaver Dam, WI Micro Area",153100,"Beaver Dam, WI Micro Area",2569
"G13220","2011-2015","US",,,,,,,,,,,,,,,,"Beckley, WV Metro Area","13220",,,,,,,,,,,,,,,,,"31000US13220",,,"Beckley, WV Metro Area",90100,"Beckley, WV Metro Area",2915
"G13260","2011-2015","US",,,,,,,,,,,,,,,,"Bedford, IN Micro Area","13260",,,,,,,,,,,,,,,,,"31000US13260",,,"Bedford, IN Micro Area",100500,"Bedford, IN Micro Area",4930
"G13300","2011-2015","US",,,,,,,,,,,,,,,,"Beeville, TX Micro Area","13300",,,,,,,,,,,,,,,,,"31000US13300",,,"Beeville, TX Micro Area",72900,"Beeville, TX Micro Area",5138
"G13340","2011-2015","US",,,,,,,,,,,,,,,,"Bellefontaine, OH Micro Area","13340",,,,,,,,,,,,,,,,,"31000US13340",,,"Bellefontaine, OH Micro Area",119400,"Bellefontaine, OH Micro Area",3704
"G13380","2011-2015","US",,,,,,,,,,,,,,,,"Bellingham, WA Metro Area","13380",,,,,,,,,,,,,,,,,"31000US13380",,,"Bellingham, WA Metro Area",274700,"Bellingham, WA Metro Area",3585
"G13420","2011-2015","US",,,,,,,,,,,,,,,,"Bemidji, MN Micro Area","13420",,,,,,,,,,,,,,,,,"31000US13420",,,"Bemidji, MN Micro Area",148800,"Bemidji, MN Micro Area",5601
"G13460","2011-2015","US",,,,,,,,,,,,,,,,"Bend-Redmond, OR Metro Area","13460",,,,,,,,,,,,,,,,,"31000US13460",,,"Bend-Redmond, OR Metro Area",253400,"Bend-Redmond, OR Metro Area",7854
"G13500","2011-2015","US",,,,,,,,,,,,,,,,"Bennettsville, SC Micro Area","13500",,,,,,,,,,,,,,,,,"31000US13500",,,"Bennettsville, SC Micro Area",60200,"Bennettsville, SC Micro Area",3555
"G13540","2011-2015","US",,,,,,,,,,,,,,,,"Bennington, VT Micro Area","13540",,,,,,,,,,,,,,,,,"31000US13540",,,"Bennington, VT Micro Area",211300,"Bennington, VT Micro Area",8156
"G13620","2011-2015","US",,,,,,,,,,,,,,,,"Berlin, NH-VT Micro Area","13620",,,,,,,,,,,,,,,,,"31000US13620",,,"Berlin, NH-VT Micro Area",123300,"Berlin, NH-VT Micro Area",4194
"G13660","2011-2015","US",,,,,,,,,,,,,,,,"Big Rapids, MI Micro Area","13660",,,,,,,,,,,,,,,,,"31000US13660",,,"Big Rapids, MI Micro Area",110500,"Big Rapids, MI Micro Area",3317
"G13700","2011-2015","US",,,,,,,,,,,,,,,,"Big Spring, TX Micro Area","13700",,,,,,,,,,,,,,,,,"31000US13700",,,"Big Spring, TX Micro Area",75600,"Big Spring, TX Micro Area",3441
"G13720","2011-2015","US",,,,,,,,,,,,,,,,"Big Stone Gap, VA Micro Area","13720",,,,,,,,,,,,,,,,,"31000US13720",,,"Big Stone Gap, VA Micro Area",84500,"Big Stone Gap, VA Micro Area",3042
"G13740","2011-2015","US",,,,,,,,,,,,,,,,"Billings, MT Metro Area","13740",,,,,,,,,,,,,,,,,"31000US13740",,,"Billings, MT Metro Area",193500,"Billings, MT Metro Area",2800
"G13780","2011-2015","US",,,,,,,,,,,,,,,,"Binghamton, NY Metro Area","13780",,,,,,,,,,,,,,,,,"31000US13780",,,"Binghamton, NY Metro Area",110500,"Binghamton, NY Metro Area",1844
"G13820","2011-2015","US",,,,,,,,,,,,,,,,"Birmingham-Hoover, AL Metro Area","13820",,,,,,,,,,,,,,,,,"31000US13820",,,"Birmingham-Hoover, AL Metro Area",146200,"Birmingham-Hoover, AL Metro Area",1558
"G13900","2011-2015","US",,,,,,,,,,,,,,,,"Bismarck, ND Metro Area","13900",,,,,,,,,,,,,,,,,"31000US13900",,,"Bismarck, ND Metro Area",185100,"Bismarck, ND Metro Area",4096
"G13940","2011-2015","US",,,,,,,,,,,,,,,,"Blackfoot, ID Micro Area","13940",,,,,,,,,,,,,,,,,"31000US13940",,,"Blackfoot, ID Micro Area",141400,"Blackfoot, ID Micro Area",4848
"G13980","2011-2015","US",,,,,,,,,,,,,,,,"Blacksburg-Christiansburg-Radford, VA Metro Area","13980",,,,,,,,,,,,,,,,,"31000US13980",,,"Blacksburg-Christiansburg-Radford, VA Metro Area",162500,"Blacksburg-Christiansburg-Radford, VA Metro Area",3201
"G14010","2011-2015","US",,,,,,,,,,,,,,,,"Bloomington, IL Metro Area","14010",,,,,,,,,,,,,,,,,"31000US14010",,,"Bloomington, IL Metro Area",155400,"Bloomington, IL Metro Area",2008
"G14020","2011-2015","US",,,,,,,,,,,,,,,,"Bloomington, IN Metro Area","14020",,,,,,,,,,,,,,,,,"31000US14020",,,"Bloomington, IN Metro Area",152300,"Bloomington, IN Metro Area",2896
"G14100","2011-2015","US",,,,,,,,,,,,,,,,"Bloomsburg-Berwick, PA Metro Area","14100",,,,,,,,,,,,,,,,,"31000US14100",,,"Bloomsburg-Berwick, PA Metro Area",145700,"Bloomsburg-Berwick, PA Metro Area",3000
"G14140","2011-2015","US",,,,,,,,,,,,,,,,"Bluefield, WV-VA Micro Area","14140",,,,,,,,,,,,,,,,,"31000US14140",,,"Bluefield, WV-VA Micro Area",87800,"Bluefield, WV-VA Micro Area",2428
"G14180","2011-2015","US",,,,,,,,,,,,,,,,"Blytheville, AR Micro Area","14180",,,,,,,,,,,,,,,,,"31000US14180",,,"Blytheville, AR Micro Area",79600,"Blytheville, AR Micro Area",3477
"G14220","2011-2015","US",,,,,,,,,,,,,,,,"Bogalusa, LA Micro Area","14220",,,,,,,,,,,,,,,,,"31000US14220",,,"Bogalusa, LA Micro Area",79600,"Bogalusa, LA Micro Area",6081
"G14260","2011-2015","US",,,,,,,,,,,,,,,,"Boise City, ID Metro Area","14260",,,,,,,,,,,,,,,,,"31000US14260",,,"Boise City, ID Metro Area",167800,"Boise City, ID Metro Area",1435
"G14340","2011-2015","US",,,,,,,,,,,,,,,,"Boone, IA Micro Area","14340",,,,,,,,,,,,,,,,,"31000US14340",,,"Boone, IA Micro Area",119600,"Boone, IA Micro Area",4256
"G14380","2011-2015","US",,,,,,,,,,,,,,,,"Boone, NC Micro Area","14380",,,,,,,,,,,,,,,,,"31000US14380",,,"Boone, NC Micro Area",231700,"Boone, NC Micro Area",9509
"G14420","2011-2015","US",,,,,,,,,,,,,,,,"Borger, TX Micro Area","14420",,,,,,,,,,,,,,,,,"31000US14420",,,"Borger, TX Micro Area",73500,"Borger, TX Micro Area",4389
"G14460","2011-2015","US",,,,,,,,,,,,,,,,"Boston-Cambridge-Newton, MA-NH Metro Area","14460",,,,,,,,,,,,,,,,,"31000US14460",,,"Boston-Cambridge-Newton, MA-NH Metro Area",368900,"Boston-Cambridge-Newton, MA-NH Metro Area",1071
"G14500","2011-2015","US",,,,,,,,,,,,,,,,"Boulder, CO Metro Area","14500",,,,,,,,,,,,,,,,,"31000US14500",,,"Boulder, CO Metro Area",368800,"Boulder, CO Metro Area",4139
"G14540","2011-2015","US",,,,,,,,,,,,,,,,"Bowling Green, KY Metro Area","14540",,,,,,,,,,,,,,,,,"31000US14540",,,"Bowling Green, KY Metro Area",124600,"Bowling Green, KY Metro Area",2975
"G14580","2011-2015","US",,,,,,,,,,,,,,,,"Bozeman, MT Micro Area","14580",,,,,,,,,,,,,,,,,"31000US14580",,,"Bozeman, MT Micro Area",271500,"Bozeman, MT Micro Area",5533
"G14620","2011-2015","US",,,,,,,,,,,,,,,,"Bradford, PA Micro Area","14620",,,,,,,,,,,,,,,,,"31000US14620",,,"Bradford, PA Micro Area",76200,"Bradford, PA Micro Area",1974
"G14660","2011-2015","US",,,,,,,,,,,,,,,,"Brainerd, MN Micro Area","14660",,,,,,,,,,,,,,,,,"31000US14660",,,"Brainerd, MN Micro Area",175900,"Brainerd, MN Micro Area",3798
"G14700","2011-2015","US",,,,,,,,,,,,,,,,"Branson, MO Micro Area","14700",,,,,,,,,,,,,,,,,"31000US14700",,,"Branson, MO Micro Area",133800,"Branson, MO Micro Area",4919
"G14720","2011-2015","US",,,,,,,,,,,,,,,,"Breckenridge, CO Micro Area","14720",,,,,,,,,,,,,,,,,"31000US14720",,,"Breckenridge, CO Micro Area",478800,"Breckenridge, CO Micro Area",31249
"G14740","2011-2015","US",,,,,,,,,,,,,,,,"Bremerton-Silverdale, WA Metro Area","14740",,,,,,,,,,,,,,,,,"31000US14740",,,"Bremerton-Silverdale, WA Metro Area",258700,"Bremerton-Silverdale, WA Metro Area",3478
"G14780","2011-2015","US",,,,,,,,,,,,,,,,"Brenham, TX Micro Area","14780",,,,,,,,,,,,,,,,,"31000US14780",,,"Brenham, TX Micro Area",152800,"Brenham, TX Micro Area",10912
"G14820","2011-2015","US",,,,,,,,,,,,,,,,"Brevard, NC Micro Area","14820",,,,,,,,,,,,,,,,,"31000US14820",,,"Brevard, NC Micro Area",192000,"Brevard, NC Micro Area",8013
"G14860","2011-2015","US",,,,,,,,,,,,,,,,"Bridgeport-Stamford-Norwalk, CT Metro Area","14860",,,,,,,,,,,,,,,,,"31000US14860",,,"Bridgeport-Stamford-Norwalk, CT Metro Area",416000,"Bridgeport-Stamford-Norwalk, CT Metro Area",3816
"G15020","2011-2015","US",,,,,,,,,,,,,,,,"Brookhaven, MS Micro Area","15020",,,,,,,,,,,,,,,,,"31000US15020",,,"Brookhaven, MS Micro Area",85300,"Brookhaven, MS Micro Area",4750
"G15060","2011-2015","US",,,,,,,,,,,,,,,,"Brookings, OR Micro Area","15060",,,,,,,,,,,,,,,,,"31000US15060",,,"Brookings, OR Micro Area",218200,"Brookings, OR Micro Area",15033
"G15100","2011-2015","US",,,,,,,,,,,,,,,,"Brookings, SD Micro Area","15100",,,,,,,,,,,,,,,,,"31000US15100",,,"Brookings, SD Micro Area",156000,"Brookings, SD Micro Area",5848
"G15180","2011-2015","US",,,,,,,,,,,,,,,,"Brownsville-Harlingen, TX Metro Area","15180",,,,,,,,,,,,,,,,,"31000US15180",,,"Brownsville-Harlingen, TX Metro Area",79300,"Brownsville-Harlingen, TX Metro Area",1368
"G15220","2011-2015","US",,,,,,,,,,,,,,,,"Brownwood, TX Micro Area","15220",,,,,,,,,,,,,,,,,"31000US15220",,,"Brownwood, TX Micro Area",90400,"Brownwood, TX Micro Area",4224
"G15260","2011-2015","US",,,,,,,,,,,,,,,,"Brunswick, GA Metro Area","15260",,,,,,,,,,,,,,,,,"31000US15260",,,"Brunswick, GA Metro Area",132000,"Brunswick, GA Metro Area",6540
"G15340","2011-2015","US",,,,,,,,,,,,,,,,"Bucyrus, OH Micro Area","15340",,,,,,,,,,,,,,,,,"31000US15340",,,"Bucyrus, OH Micro Area",86700,"Bucyrus, OH Micro Area",1877
"G15380","2011-2015","US",,,,,,,,,,,,,,,,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","15380",,,,,,,,,,,,,,,,,"31000US15380",,,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",125000,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",940
"G15420","2011-2015","US",,,,,,,,,,,,,,,,"Burley, ID Micro Area","15420",,,,,,,,,,,,,,,,,"31000US15420",,,"Burley, ID Micro Area",119200,"Burley, ID Micro Area",3868
"G15460","2011-2015","US",,,,,,,,,,,,,,,,"Burlington, IA-IL Micro Area","15460",,,,,,,,,,,,,,,,,"31000US15460",,,"Burlington, IA-IL Micro Area",96700,"Burlington, IA-IL Micro Area",2902
"G15500","2011-2015","US",,,,,,,,,,,,,,,,"Burlington, NC Metro Area","15500",,,,,,,,,,,,,,,,,"31000US15500",,,"Burlington, NC Metro Area",138100,"Burlington, NC Metro Area",3305
"G15540","2011-2015","US",,,,,,,,,,,,,,,,"Burlington-South Burlington, VT Metro Area","15540",,,,,,,,,,,,,,,,,"31000US15540",,,"Burlington-South Burlington, VT Metro Area",253900,"Burlington-South Burlington, VT Metro Area",3263
"G15580","2011-2015","US",,,,,,,,,,,,,,,,"Butte-Silver Bow, MT Micro Area","15580",,,,,,,,,,,,,,,,,"31000US15580",,,"Butte-Silver Bow, MT Micro Area",128100,"Butte-Silver Bow, MT Micro Area",7327
"G15620","2011-2015","US",,,,,,,,,,,,,,,,"Cadillac, MI Micro Area","15620",,,,,,,,,,,,,,,,,"31000US15620",,,"Cadillac, MI Micro Area",95700,"Cadillac, MI Micro Area",3037
"G15660","2011-2015","US",,,,,,,,,,,,,,,,"Calhoun, GA Micro Area","15660",,,,,,,,,,,,,,,,,"31000US15660",,,"Calhoun, GA Micro Area",113000,"Calhoun, GA Micro Area",4496
"G15680","2011-2015","US",,,,,,,,,,,,,,,,"California-Lexington Park, MD Metro Area","15680",,,,,,,,,,,,,,,,,"31000US15680",,,"California-Lexington Park, MD Metro Area",297200,"California-Lexington Park, MD Metro Area",5387
"G15700","2011-2015","US",,,,,,,,,,,,,,,,"Cambridge, MD Micro Area","15700",,,,,,,,,,,,,,,,,"31000US15700",,,"Cambridge, MD Micro Area",187700,"Cambridge, MD Micro Area",6477
"G15740","2011-2015","US",,,,,,,,,,,,,,,,"Cambridge, OH Micro Area","15740",,,,,,,,,,,,,,,,,"31000US15740",,,"Cambridge, OH Micro Area",95600,"Cambridge, OH Micro Area",4236
"G15780","2011-2015","US",,,,,,,,,,,,,,,,"Camden, AR Micro Area","15780",,,,,,,,,,,,,,,,,"31000US15780",,,"Camden, AR Micro Area",67000,"Camden, AR Micro Area",5056
"G15820","2011-2015","US",,,,,,,,,,,,,,,,"Campbellsville, KY Micro Area","15820",,,,,,,,,,,,,,,,,"31000US15820",,,"Campbellsville, KY Micro Area",93700,"Campbellsville, KY Micro Area",6998
"G15860","2011-2015","US",,,,,,,,,,,,,,,,"Cañon City, CO Micro Area","15860",,,,,,,,,,,,,,,,,"31000US15860",,,"Cañon City, CO Micro Area",158500,"Cañon City, CO Micro Area",5001
"G15900","2011-2015","US",,,,,,,,,,,,,,,,"Canton, IL Micro Area","15900",,,,,,,,,,,,,,,,,"31000US15900",,,"Canton, IL Micro Area",81500,"Canton, IL Micro Area",1798
"G15940","2011-2015","US",,,,,,,,,,,,,,,,"Canton-Massillon, OH Metro Area","15940",,,,,,,,,,,,,,,,,"31000US15940",,,"Canton-Massillon, OH Metro Area",122100,"Canton-Massillon, OH Metro Area",1327
"G15980","2011-2015","US",,,,,,,,,,,,,,,,"Cape Coral-Fort Myers, FL Metro Area","15980",,,,,,,,,,,,,,,,,"31000US15980",,,"Cape Coral-Fort Myers, FL Metro Area",157400,"Cape Coral-Fort Myers, FL Metro Area",1981
"G16020","2011-2015","US",,,,,,,,,,,,,,,,"Cape Girardeau, MO-IL Metro Area","16020",,,,,,,,,,,,,,,,,"31000US16020",,,"Cape Girardeau, MO-IL Metro Area",128700,"Cape Girardeau, MO-IL Metro Area",3807
"G16060","2011-2015","US",,,,,,,,,,,,,,,,"Carbondale-Marion, IL Metro Area","16060",,,,,,,,,,,,,,,,,"31000US16060",,,"Carbondale-Marion, IL Metro Area",100500,"Carbondale-Marion, IL Metro Area",3756
"G16100","2011-2015","US",,,,,,,,,,,,,,,,"Carlsbad-Artesia, NM Micro Area","16100",,,,,,,,,,,,,,,,,"31000US16100",,,"Carlsbad-Artesia, NM Micro Area",124800,"Carlsbad-Artesia, NM Micro Area",6253
"G16180","2011-2015","US",,,,,,,,,,,,,,,,"Carson City, NV Metro Area","16180",,,,,,,,,,,,,,,,,"31000US16180",,,"Carson City, NV Metro Area",186000,"Carson City, NV Metro Area",8329
"G16220","2011-2015","US",,,,,,,,,,,,,,,,"Casper, WY Metro Area","16220",,,,,,,,,,,,,,,,,"31000US16220",,,"Casper, WY Metro Area",185600,"Casper, WY Metro Area",3988
"G16260","2011-2015","US",,,,,,,,,,,,,,,,"Cedar City, UT Micro Area","16260",,,,,,,,,,,,,,,,,"31000US16260",,,"Cedar City, UT Micro Area",165900,"Cedar City, UT Micro Area",4954
"G16300","2011-2015","US",,,,,,,,,,,,,,,,"Cedar Rapids, IA Metro Area","16300",,,,,,,,,,,,,,,,,"31000US16300",,,"Cedar Rapids, IA Metro Area",146000,"Cedar Rapids, IA Metro Area",1512
"G16340","2011-2015","US",,,,,,,,,,,,,,,,"Cedartown, GA Micro Area","16340",,,,,,,,,,,,,,,,,"31000US16340",,,"Cedartown, GA Micro Area",102600,"Cedartown, GA Micro Area",8361
"G16380","2011-2015","US",,,,,,,,,,,,,,,,"Celina, OH Micro Area","16380",,,,,,,,,,,,,,,,,"31000US16380",,,"Celina, OH Micro Area",130200,"Celina, OH Micro Area",5175
"G16460","2011-2015","US",,,,,,,,,,,,,,,,"Centralia, IL Micro Area","16460",,,,,,,,,,,,,,,,,"31000US16460",,,"Centralia, IL Micro Area",68600,"Centralia, IL Micro Area",1868
"G16500","2011-2015","US",,,,,,,,,,,,,,,,"Centralia, WA Micro Area","16500",,,,,,,,,,,,,,,,,"31000US16500",,,"Centralia, WA Micro Area",174000,"Centralia, WA Micro Area",4325
"G16540","2011-2015","US",,,,,,,,,,,,,,,,"Chambersburg-Waynesboro, PA Metro Area","16540",,,,,,,,,,,,,,,,,"31000US16540",,,"Chambersburg-Waynesboro, PA Metro Area",173400,"Chambersburg-Waynesboro, PA Metro Area",2584
"G16580","2011-2015","US",,,,,,,,,,,,,,,,"Champaign-Urbana, IL Metro Area","16580",,,,,,,,,,,,,,,,,"31000US16580",,,"Champaign-Urbana, IL Metro Area",143900,"Champaign-Urbana, IL Metro Area",2309
"G16620","2011-2015","US",,,,,,,,,,,,,,,,"Charleston, WV Metro Area","16620",,,,,,,,,,,,,,,,,"31000US16620",,,"Charleston, WV Metro Area",98600,"Charleston, WV Metro Area",2027
"G16660","2011-2015","US",,,,,,,,,,,,,,,,"Charleston-Mattoon, IL Micro Area","16660",,,,,,,,,,,,,,,,,"31000US16660",,,"Charleston-Mattoon, IL Micro Area",92000,"Charleston-Mattoon, IL Micro Area",3463
"G16700","2011-2015","US",,,,,,,,,,,,,,,,"Charleston-North Charleston, SC Metro Area","16700",,,,,,,,,,,,,,,,,"31000US16700",,,"Charleston-North Charleston, SC Metro Area",189600,"Charleston-North Charleston, SC Metro Area",2091
"G16740","2011-2015","US",,,,,,,,,,,,,,,,"Charlotte-Concord-Gastonia, NC-SC Metro Area","16740",,,,,,,,,,,,,,,,,"31000US16740",,,"Charlotte-Concord-Gastonia, NC-SC Metro Area",166000,"Charlotte-Concord-Gastonia, NC-SC Metro Area",876
"G16820","2011-2015","US",,,,,,,,,,,,,,,,"Charlottesville, VA Metro Area","16820",,,,,,,,,,,,,,,,,"31000US16820",,,"Charlottesville, VA Metro Area",261300,"Charlottesville, VA Metro Area",4190
"G16860","2011-2015","US",,,,,,,,,,,,,,,,"Chattanooga, TN-GA Metro Area","16860",,,,,,,,,,,,,,,,,"31000US16860",,,"Chattanooga, TN-GA Metro Area",144700,"Chattanooga, TN-GA Metro Area",1994
"G16940","2011-2015","US",,,,,,,,,,,,,,,,"Cheyenne, WY Metro Area","16940",,,,,,,,,,,,,,,,,"31000US16940",,,"Cheyenne, WY Metro Area",190000,"Cheyenne, WY Metro Area",4034
"G16980","2011-2015","US",,,,,,,,,,,,,,,,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","16980",,,,,,,,,,,,,,,,,"31000US16980",,,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",214400,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",651
"G17020","2011-2015","US",,,,,,,,,,,,,,,,"Chico, CA Metro Area","17020",,,,,,,,,,,,,,,,,"31000US17020",,,"Chico, CA Metro Area",221700,"Chico, CA Metro Area",4189
"G17060","2011-2015","US",,,,,,,,,,,,,,,,"Chillicothe, OH Micro Area","17060",,,,,,,,,,,,,,,,,"31000US17060",,,"Chillicothe, OH Micro Area",110300,"Chillicothe, OH Micro Area",3015
"G17140","2011-2015","US",,,,,,,,,,,,,,,,"Cincinnati, OH-KY-IN Metro Area","17140",,,,,,,,,,,,,,,,,"31000US17140",,,"Cincinnati, OH-KY-IN Metro Area",153400,"Cincinnati, OH-KY-IN Metro Area",729
"G17200","2011-2015","US",,,,,,,,,,,,,,,,"Claremont-Lebanon, NH-VT Micro Area","17200",,,,,,,,,,,,,,,,,"31000US17200",,,"Claremont-Lebanon, NH-VT Micro Area",199500,"Claremont-Lebanon, NH-VT Micro Area",2814
"G17220","2011-2015","US",,,,,,,,,,,,,,,,"Clarksburg, WV Micro Area","17220",,,,,,,,,,,,,,,,,"31000US17220",,,"Clarksburg, WV Micro Area",95200,"Clarksburg, WV Micro Area",3810
"G17260","2011-2015","US",,,,,,,,,,,,,,,,"Clarksdale, MS Micro Area","17260",,,,,,,,,,,,,,,,,"31000US17260",,,"Clarksdale, MS Micro Area",61900,"Clarksdale, MS Micro Area",4778
"G17300","2011-2015","US",,,,,,,,,,,,,,,,"Clarksville, TN-KY Metro Area","17300",,,,,,,,,,,,,,,,,"31000US17300",,,"Clarksville, TN-KY Metro Area",137500,"Clarksville, TN-KY Metro Area",2180
"G17340","2011-2015","US",,,,,,,,,,,,,,,,"Clearlake, CA Micro Area","17340",,,,,,,,,,,,,,,,,"31000US17340",,,"Clearlake, CA Micro Area",164300,"Clearlake, CA Micro Area",7349
"G17380","2011-2015","US",,,,,,,,,,,,,,,,"Cleveland, MS Micro Area","17380",,,,,,,,,,,,,,,,,"31000US17380",,,"Cleveland, MS Micro Area",85100,"Cleveland, MS Micro Area",3257
"G17420","2011-2015","US",,,,,,,,,,,,,,,,"Cleveland, TN Metro Area","17420",,,,,,,,,,,,,,,,,"31000US17420",,,"Cleveland, TN Metro Area",141400,"Cleveland, TN Metro Area",4450
"G17460","2011-2015","US",,,,,,,,,,,,,,,,"Cleveland-Elyria, OH Metro Area","17460",,,,,,,,,,,,,,,,,"31000US17460",,,"Cleveland-Elyria, OH Metro Area",138900,"Cleveland-Elyria, OH Metro Area",643
"G17500","2011-2015","US",,,,,,,,,,,,,,,,"Clewiston, FL Micro Area","17500",,,,,,,,,,,,,,,,,"31000US17500",,,"Clewiston, FL Micro Area",72400,"Clewiston, FL Micro Area",7283
"G17540","2011-2015","US",,,,,,,,,,,,,,,,"Clinton, IA Micro Area","17540",,,,,,,,,,,,,,,,,"31000US17540",,,"Clinton, IA Micro Area",110100,"Clinton, IA Micro Area",5088
"G17580","2011-2015","US",,,,,,,,,,,,,,,,"Clovis, NM Micro Area","17580",,,,,,,,,,,,,,,,,"31000US17580",,,"Clovis, NM Micro Area",125600,"Clovis, NM Micro Area",7379
"G17620","2011-2015","PR",,,,,,,,,,,,,,,,"Coamo, PR Micro Area","17620",,,,,,,,,,,,,,,,,"31000US17620",,,"Coamo, PR Micro Area",93200,"Coamo, PR Micro Area",3339
"G17640","2011-2015","PR",,,,,,,,,,,,,,,,"Coco, PR Micro Area","17640",,,,,,,,,,,,,,,,,"31000US17640",,,"Coco, PR Micro Area",85500,"Coco, PR Micro Area",2574
"G17660","2011-2015","US",,,,,,,,,,,,,,,,"Coeur d'Alene, ID Metro Area","17660",,,,,,,,,,,,,,,,,"31000US17660",,,"Coeur d'Alene, ID Metro Area",185700,"Coeur d'Alene, ID Metro Area",4124
