GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G24640","2011-2015","US",,,,,,,,,,,,,,,,"Greenfield Town, MA Micro Area","24640",,,,,,,,,,,,,,,,,"31000US24640",,,"Greenfield Town, MA Micro Area",220800,"Greenfield Town, MA Micro Area",4000
"G24660","2011-2015","US",,,,,,,,,,,,,,,,"Greensboro-High Point, NC Metro Area","24660",,,,,,,,,,,,,,,,,"31000US24660",,,"Greensboro-High Point, NC Metro Area",140700,"Greensboro-High Point, NC Metro Area",1241
"G24700","2011-2015","US",,,,,,,,,,,,,,,,"Greensburg, IN Micro Area","24700",,,,,,,,,,,,,,,,,"31000US24700",,,"Greensburg, IN Micro Area",115100,"Greensburg, IN Micro Area",5909
"G24740","2011-2015","US",,,,,,,,,,,,,,,,"Greenville, MS Micro Area","24740",,,,,,,,,,,,,,,,,"31000US24740",,,"Greenville, MS Micro Area",73900,"Greenville, MS Micro Area",2973
"G24780","2011-2015","US",,,,,,,,,,,,,,,,"Greenville, NC Metro Area","24780",,,,,,,,,,,,,,,,,"31000US24780",,,"Greenville, NC Metro Area",135300,"Greenville, NC Metro Area",3761
"G24820","2011-2015","US",,,,,,,,,,,,,,,,"Greenville, OH Micro Area","24820",,,,,,,,,,,,,,,,,"31000US24820",,,"Greenville, OH Micro Area",109900,"Greenville, OH Micro Area",3808
"G24860","2011-2015","US",,,,,,,,,,,,,,,,"Greenville-Anderson-Mauldin, SC Metro Area","24860",,,,,,,,,,,,,,,,,"31000US24860",,,"Greenville-Anderson-Mauldin, SC Metro Area",140000,"Greenville-Anderson-Mauldin, SC Metro Area",1239
"G24900","2011-2015","US",,,,,,,,,,,,,,,,"Greenwood, MS Micro Area","24900",,,,,,,,,,,,,,,,,"31000US24900",,,"Greenwood, MS Micro Area",73900,"Greenwood, MS Micro Area",3550
"G24940","2011-2015","US",,,,,,,,,,,,,,,,"Greenwood, SC Micro Area","24940",,,,,,,,,,,,,,,,,"31000US24940",,,"Greenwood, SC Micro Area",99500,"Greenwood, SC Micro Area",3546
"G24980","2011-2015","US",,,,,,,,,,,,,,,,"Grenada, MS Micro Area","24980",,,,,,,,,,,,,,,,,"31000US24980",,,"Grenada, MS Micro Area",92600,"Grenada, MS Micro Area",5598
"G25020","2011-2015","PR",,,,,,,,,,,,,,,,"Guayama, PR Metro Area","25020",,,,,,,,,,,,,,,,,"31000US25020",,,"Guayama, PR Metro Area",95000,"Guayama, PR Metro Area",1606
