GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JTIE001,NAME_M,JTIM001
"G40500","2006-2010","US",,,,,,,,,,,,,,,,"Rockland, ME Micro Area","40500",,,,,,,,,,,,,,,,"31000US40500",,,"Rockland, ME Micro Area",203800,"Rockland, ME Micro Area",7264
"G40540","2006-2010","US",,,,,,,,,,,,,,,,"Rock Springs, WY Micro Area","40540",,,,,,,,,,,,,,,,"31000US40540",,,"Rock Springs, WY Micro Area",169500,"Rock Springs, WY Micro Area",7273
"G40580","2006-2010","US",,,,,,,,,,,,,,,,"Rocky Mount, NC Metro Area","40580",,,,,,,,,,,,,,,,"31000US40580",,,"Rocky Mount, NC Metro Area",99800,"Rocky Mount, NC Metro Area",3055
"G40620","2006-2010","US",,,,,,,,,,,,,,,,"Rolla, MO Micro Area","40620",,,,,,,,,,,,,,,,"31000US40620",,,"Rolla, MO Micro Area",114700,"Rolla, MO Micro Area",6969
"G40660","2006-2010","US",,,,,,,,,,,,,,,,"Rome, GA Metro Area","40660",,,,,,,,,,,,,,,,"31000US40660",,,"Rome, GA Metro Area",118300,"Rome, GA Metro Area",3557
"G40700","2006-2010","US",,,,,,,,,,,,,,,,"Roseburg, OR Micro Area","40700",,,,,,,,,,,,,,,,"31000US40700",,,"Roseburg, OR Micro Area",185100,"Roseburg, OR Micro Area",4823
"G40740","2006-2010","US",,,,,,,,,,,,,,,,"Roswell, NM Micro Area","40740",,,,,,,,,,,,,,,,"31000US40740",,,"Roswell, NM Micro Area",86200,"Roswell, NM Micro Area",3165
"G40760","2006-2010","US",,,,,,,,,,,,,,,,"Ruidoso, NM Micro Area","40760",,,,,,,,,,,,,,,,"31000US40760",,,"Ruidoso, NM Micro Area",166600,"Ruidoso, NM Micro Area",13313
"G40780","2006-2010","US",,,,,,,,,,,,,,,,"Russellville, AR Micro Area","40780",,,,,,,,,,,,,,,,"31000US40780",,,"Russellville, AR Micro Area",92300,"Russellville, AR Micro Area",3206
"G40820","2006-2010","US",,,,,,,,,,,,,,,,"Ruston, LA Micro Area","40820",,,,,,,,,,,,,,,,"31000US40820",,,"Ruston, LA Micro Area",96300,"Ruston, LA Micro Area",5488
