GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G53003300316051","2011-2015","WA",,,"Washington","53","King County","033",,,"031605","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330316051",,,"Block Group 1, Census Tract 316.05, King County, Washington",435200,"Block Group 1, Census Tract 316.05, King County, Washington",38794
"G53003300316052","2011-2015","WA",,,"Washington","53","King County","033",,,"031605","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330316052",,,"Block Group 2, Census Tract 316.05, King County, Washington",276400,"Block Group 2, Census Tract 316.05, King County, Washington",34197
"G53003300316053","2011-2015","WA",,,"Washington","53","King County","033",,,"031605","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330316053",,,"Block Group 3, Census Tract 316.05, King County, Washington",458500,"Block Group 3, Census Tract 316.05, King County, Washington",74251
"G53003300317031","2011-2015","WA",,,"Washington","53","King County","033",,,"031703","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317031",,,"Block Group 1, Census Tract 317.03, King County, Washington",263100,"Block Group 1, Census Tract 317.03, King County, Washington",67245
"G53003300317032","2011-2015","WA",,,"Washington","53","King County","033",,,"031703","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317032",,,"Block Group 2, Census Tract 317.03, King County, Washington",269100,"Block Group 2, Census Tract 317.03, King County, Washington",83946
"G53003300317033","2011-2015","WA",,,"Washington","53","King County","033",,,"031703","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317033",,,"Block Group 3, Census Tract 317.03, King County, Washington",178700,"Block Group 3, Census Tract 317.03, King County, Washington",121520
"G53003300317034","2011-2015","WA",,,"Washington","53","King County","033",,,"031703","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317034",,,"Block Group 4, Census Tract 317.03, King County, Washington",290500,"Block Group 4, Census Tract 317.03, King County, Washington",54935
"G53003300317035","2011-2015","WA",,,"Washington","53","King County","033",,,"031703","5",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317035",,,"Block Group 5, Census Tract 317.03, King County, Washington",373800,"Block Group 5, Census Tract 317.03, King County, Washington",33634
"G53003300317041","2011-2015","WA",,,"Washington","53","King County","033",,,"031704","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317041",,,"Block Group 1, Census Tract 317.04, King County, Washington",293900,"Block Group 1, Census Tract 317.04, King County, Washington",27371
"G53003300317042","2011-2015","WA",,,"Washington","53","King County","033",,,"031704","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317042",,,"Block Group 2, Census Tract 317.04, King County, Washington",213200,"Block Group 2, Census Tract 317.04, King County, Washington",64654
"G53003300317043","2011-2015","WA",,,"Washington","53","King County","033",,,"031704","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317043",,,"Block Group 3, Census Tract 317.04, King County, Washington",289000,"Block Group 3, Census Tract 317.04, King County, Washington",28152
"G53003300317051","2011-2015","WA",,,"Washington","53","King County","033",,,"031705","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317051",,,"Block Group 1, Census Tract 317.05, King County, Washington",341900,"Block Group 1, Census Tract 317.05, King County, Washington",11565
"G53003300317052","2011-2015","WA",,,"Washington","53","King County","033",,,"031705","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317052",,,"Block Group 2, Census Tract 317.05, King County, Washington",266000,"Block Group 2, Census Tract 317.05, King County, Washington",24620
"G53003300317053","2011-2015","WA",,,"Washington","53","King County","033",,,"031705","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317053",,,"Block Group 3, Census Tract 317.05, King County, Washington",288800,"Block Group 3, Census Tract 317.05, King County, Washington",53729
"G53003300317061","2011-2015","WA",,,"Washington","53","King County","033",,,"031706","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317061",,,"Block Group 1, Census Tract 317.06, King County, Washington",297700,"Block Group 1, Census Tract 317.06, King County, Washington",28268
"G53003300317062","2011-2015","WA",,,"Washington","53","King County","033",,,"031706","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317062",,,"Block Group 2, Census Tract 317.06, King County, Washington",213700,"Block Group 2, Census Tract 317.06, King County, Washington",16303
"G53003300317063","2011-2015","WA",,,"Washington","53","King County","033",,,"031706","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317063",,,"Block Group 3, Census Tract 317.06, King County, Washington",295100,"Block Group 3, Census Tract 317.06, King County, Washington",37634
"G53003300317064","2011-2015","WA",,,"Washington","53","King County","033",,,"031706","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330317064",,,"Block Group 4, Census Tract 317.06, King County, Washington",360100,"Block Group 4, Census Tract 317.06, King County, Washington",27838
"G53003300318001","2011-2015","WA",,,"Washington","53","King County","033",,,"031800","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330318001",,,"Block Group 1, Census Tract 318, King County, Washington",272500,"Block Group 1, Census Tract 318, King County, Washington",23433
"G53003300318002","2011-2015","WA",,,"Washington","53","King County","033",,,"031800","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330318002",,,"Block Group 2, Census Tract 318, King County, Washington",404100,"Block Group 2, Census Tract 318, King County, Washington",61185
"G53003300318003","2011-2015","WA",,,"Washington","53","King County","033",,,"031800","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330318003",,,"Block Group 3, Census Tract 318, King County, Washington",373300,"Block Group 3, Census Tract 318, King County, Washington",35676
"G53003300319031","2011-2015","WA",,,"Washington","53","King County","033",,,"031903","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319031",,,"Block Group 1, Census Tract 319.03, King County, Washington",304600,"Block Group 1, Census Tract 319.03, King County, Washington",43526
"G53003300319032","2011-2015","WA",,,"Washington","53","King County","033",,,"031903","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330319032",,,"Block Group 2, Census Tract 319.03, King County, Washington",342700,"Block Group 2, Census Tract 319.03, King County, Washington",33577
