"","GEOID1","GEOID2","FULL1_NAME","FULL2_NAME","variable","estimate","moe","centroid1","centroid2","GISJOIN.x","YEAR.x","CBSAA","median_cost.x","GISJOIN.y","YEAR.y","NAME_E.y","median_cost.y","housing_chg","GISJOIN","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"25","42660","13900","Seattle-Tacoma-Bellevue, WA Metro Area","Bismarck, ND Metro Area","MOVEDOUT",44,51,c(-121.881387433741, 47.5574033466574),c(-100.905133973237, 46.8370145936504),"G13900","2011-2015",13900,185100,"G13900","2016-2020","Bismarck, ND Metro Area",254900,69800,"G13900",12939,2146,1187,783,306,1295,4314
"26","42660","14020","Seattle-Tacoma-Bellevue, WA Metro Area","Bloomington, IN Metro Area","MOVEDOUT",29,47,c(-121.881387433741, 47.5574033466574),c(-86.7918689438515, 39.1543279987426),"G14020","2011-2015",14020,152300,"G14020","2016-2020","Bloomington, IN Metro Area",177700,25400,"G14020",-11163,677,-37,1170,-17,992,7506
"27","42660","14500","Seattle-Tacoma-Bellevue, WA Metro Area","Boulder, CO Metro Area","MOVEDOUT",513,240,c(-121.881387433741, 47.5574033466574),c(-105.358114213131, 40.0926378656974),"G14500","2011-2015",14500,368800,"G14500","2016-2020","Boulder, CO Metro Area",539100,170300,"G14500",-923.579999999987,861.01,677,4314.78,101,6020.47,25118.23
"28","42660","14540","Seattle-Tacoma-Bellevue, WA Metro Area","Bowling Green, KY Metro Area","MOVEDOUT",10,19,c(-121.881387433741, 47.5574033466574),c(-86.357015760847, 37.0712100341569),"G14540","2011-2015",14540,124600,"G14540","2016-2020","Bowling Green, KY Metro Area",161500,36900,"G14540",4043,2551,161,4149,559,2867,6397
"29","42660","14860","Seattle-Tacoma-Bellevue, WA Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area","MOVEDOUT",26,26,c(-121.881387433741, 47.5574033466574),c(-73.3712044616067, 41.2249601785075),"G14860","2011-2015",14860,416000,"G14860","2016-2020","Bridgeport-Stamford-Norwalk, CT Metro Area",433000,17000,"G14860",-101716,7439,1985,9057,-95,45113,78807
"30","42660","15180","Seattle-Tacoma-Bellevue, WA Metro Area","Brownsville-Harlingen, TX Metro Area","MOVEDOUT",93,114,c(-121.881387433741, 47.5574033466574),c(-97.4528596143179, 26.151501188623),"G15180","2011-2015",15180,79300,"G15180","2016-2020","Brownsville-Harlingen, TX Metro Area",89700,10400,"G15180",-190716,-79,1195,117,36,40228,164016
"31","42660","15500","Seattle-Tacoma-Bellevue, WA Metro Area","Burlington, NC Metro Area","MOVEDOUT",0,NA,c(-121.881387433741, 47.5574033466574),c(-79.399457049248, 36.0440521299717),"G15500","2011-2015",15500,138100,"G15500","2016-2020","Burlington, NC Metro Area",160900,22800,"G15500",-1667.78999999999,5605,405,1009,47,6141.07,8580.06
"32","42660","15540","Seattle-Tacoma-Bellevue, WA Metro Area","Burlington-South Burlington, VT Metro Area","MOVEDOUT",13,16,c(-121.881387433741, 47.5574033466574),c(-73.0307789173467, 44.6871978411335),"G15540","2011-2015",15540,253900,"G15540","2016-2020","Burlington-South Burlington, VT Metro Area",285200,31300,"G15540",-555.950000000012,1742,-51.85,2946.01,3,1139,9088.29
"33","42660","15940","Seattle-Tacoma-Bellevue, WA Metro Area","Canton-Massillon, OH Metro Area","MOVEDOUT",0,NA,c(-121.881387433741, 47.5574033466574),c(-81.2535061275313, 40.718647391361),"G15940","2011-2015",15940,122100,"G15940","2016-2020","Canton-Massillon, OH Metro Area",138300,16200,"G15940",-22734,564.16,187,431,38,2428,16233.44
"34","42660","15980","Seattle-Tacoma-Bellevue, WA Metro Area","Cape Coral-Fort Myers, FL Metro Area","MOVEDOUT",116,93,c(-121.881387433741, 47.5574033466574),c(-81.9154526187217, 26.5756896241698),"G15980","2011-2015",15980,157400,"G15980","2016-2020","Cape Coral-Fort Myers, FL Metro Area",235300,77900,"G15980",17142.88,7847,1635,4629,-68,26571.16,84313.45
"35","42660","16180","Seattle-Tacoma-Bellevue, WA Metro Area","Carson City, NV Metro Area","MOVEDOUT",95,108,c(-121.881387433741, 47.5574033466574),c(-119.747421344004, 39.1511466200944),"G16180","2011-2015",16180,186000,"G16180","2016-2020","Carson City, NV Metro Area",299900,113900,"G16180",-4955,88,153,235,34,1888,5922
"36","42660","16220","Seattle-Tacoma-Bellevue, WA Metro Area","Casper, WY Metro Area","MOVEDOUT",62,59,c(-121.881387433741, 47.5574033466574),c(-106.798493804153, 42.9622404457146),"G16220","2011-2015",16220,185600,"G16220","2016-2020","Casper, WY Metro Area",215400,29800,"G16220",-696,126,272,139,53,455,4156
"37","42660","16300","Seattle-Tacoma-Bellevue, WA Metro Area","Cedar Rapids, IA Metro Area","MOVEDOUT",236,282,c(-121.881387433741, 47.5574033466574),c(-91.6313350511134, 42.0914743689682),"G16300","2011-2015",16300,146000,"G16300","2016-2020","Cedar Rapids, IA Metro Area",159800,13800,"G16300",-3208.01999999999,8148,-23,1554,348,1701,10060
"38","42660","16580","Seattle-Tacoma-Bellevue, WA Metro Area","Champaign-Urbana, IL Metro Area","MOVEDOUT",93,95,c(-121.881387433741, 47.5574033466574),c(-88.294535719762, 40.2266891347847),"G16580","2011-2015",16580,143900,"G16580","2016-2020","Champaign-Urbana, IL Metro Area",163900,20000,"G16580",-20437.05,3745,228,6576,-55,3578,10545.99
"39","42660","16620","Seattle-Tacoma-Bellevue, WA Metro Area","Charleston, WV Metro Area","MOVEDOUT",0,NA,c(-121.881387433741, 47.5574033466574),c(-81.6486587798874, 38.2879072422601),"G16620","2011-2015",16620,98600,"G16620","2016-2020","Charleston, WV Metro Area",110100,11500,"G16620",-25590.86,-306,-11,342,-8,1087,8640.01
